Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
27471 HP SS Makhana Peri Peri 60g (99),0,0,0,150,0,45,75,15,60,0,15,0
27563 Happilo Prem Intl Fitness Mix 160g,60,10,65,24,60,0,15,26,0,0,50,0
27570 Happilo Prem Intl Health Mix 160g,10,10,51,60,30,18,50,40,10,0,40,0
27587 Happilo Prm Intrn Champion Mix 160,20,11,47,25,40,10,50,20,10,0,25,0
28034 Happilo Dry Fruit Celebrat,0,0,0,0,0,0,300,0,0,0,0,0
28072 Happilo Dry Fruit CP GB Gardenia,0,0,0,0,0,0,500,0,0,0,0,0
28164 Happilo Dry Fruit Celeb Orchid 1kg,0,0,0,0,0,0,36,262,0,0,0,0
28393 HP SS Makhana Chilli Garlic 60g (9,0,0,0,150,0,60,45,75,0,0,75,0
28409 HP SS Makhana Pink S&P 60g (99),0,0,0,150,0,55,0,60,15,0,44,0
28423 HP SS Makhana Cream&Onion 60g (99),0,0,0,150,0,45,0,60,15,0,45,0
28744 HP Cranberry Cashew DF Bar35g (70),0,0,0,432,144,0,138,288,0,0,0,0
28751 HP Rose Almond DF Bar 35g (70),0,0,0,432,144,0,0,0,0,0,0,0
28768 HP Walnuts DF Bar 35g (70),0,0,0,432,372,0,0,144,0,0,0,0
28775 HP Pista DF Bar 35g (70),0,0,0,432,253,0,0,144,0,0,144,0
28782 HP Choco Almond DF Bar 35g (70),0,0,0,432,420,0,0,0,0,0,0,0
29215 HP Blueberries DF Bar 35g (70),0,0,0,432,144,0,144,0,0,0,0,0
29642 HP CB DF Bar Asrtd (15gX2X6) 180g,0,0,0,24,0,0,0,0,0,0,0,0
29932 Happilo Dry Fruit BarFi GB 240G,0,0,0,0,0,0,200,0,0,0,0,0
BABA BHUJIA SF ACHARI MANGO-30GM,0,0,0,0,170,0,600,0,0,0,0,0
BABA BHUJIA SF CRUNCHY VEGGIES-30GM,0,0,0,0,170,0,600,0,600,0,0,0
BABA BHUJIA SF MIX S BUNDI-30GM,0,0,0,0,170,200,300,0,600,0,0,0
BABA BHUJIA SF PUDINA MASALA-30GM,0,0,0,0,170,0,300,0,0,0,0,0
Baba Elaichi Silver Coated 10 g,530,385,0,30,70,105,130,95,225,99,150,0
Baba Elaichi Silver Coated 6 g,50,70,60,60,100,50,90,70,90,100,20,0
BABA FRU ASSORTED JELLY JAR,0,0,0,0,0,0,0,0,0,0,0,0
BABA FRU ASSORTED JELLY POUCH (3.6x100),30,0,0,30,0,0,30,29,30,60,0,0
BABA FRU ASSORTED JELLY POUCH (3.6X30),0,0,0,0,0,0,0,0,0,0,0,0
BABA GEL & JELLY ASSORTED FUN PACK 3*4,0,0,0,0,0,0,0,3,0,0,0,0
BABA KABULI CHANNA SF HING JEERA-30GM,0,0,0,0,170,200,0,0,0,0,0,0
BABA KABULI CHANNA SF LEMON CHILLI-30GM,0,0,0,0,170,200,0,0,0,0,0,0
BABA KABULI CHANNA SF PLAIN SALTED-30GM,0,0,0,0,170,0,0,0,0,0,0,0
BABA KABULI CHANNA SF PUDINA MASALA-30GM,0,0,0,0,170,0,0,0,0,0,0,0
BABA LIQUID LIFE NAT. MINERAL WATER 15L,25,28,0,0,6,0,0,0,0,0,0,0
BABA LIQUID LIFE NAT. MINERAL WATER 1L,900,1044,900,792,1260,575,636,312,744,372,192,0
BABA LIQUID LIFE NAT. MINERAL WATER 200,168,168,216,72,312,72,192,72,168,72,0,0
BABA MAKHANA ACHARI MANGO TWIST - 16GM,593,682,2250,2357,2560,2830,3320,1860,1934,2055,900,0
BABA MAKHANA ACHARI MANGO TWIST - 75 GM,72,38,0,24,48,0,19,24,0,0,0,0
BABA MAKHANA CHEESY GARLIC TWIST - 16 GM,0,180,1620,1440,630,900,720,1440,1530,1260,720,0
BABA MAKHANA CHEESY SALT & BLC P - 16 GM,0,450,1440,1350,1170,1440,1710,360,1080,2520,720,0
BABA MAKHANA LEMON MASALA TWIST - 16GM,1770,2390,3514,3980,3618,4323,4180,2940,2600,2637,1539,0
BABA MAKHANA LEMON MASALA TWIST - 75 GM,72,48,0,48,48,0,24,0,0,48,0,0
BABA MAKHANA PERI PERI MASALA 80GM,0,0,0,0,0,20,88,8,0,0,0,0
BABA MAKHANA PERI PERI TWIST - 16GM,0,450,1440,1440,720,720,450,900,990,1080,450,0
BABA MAKHANA PUDINA MASALA 80GM,0,0,0,0,0,20,88,8,0,0,0,0
BABA MAKHANA PUDINA MASALA TWIST - 16GM,1973,2330,3946,4660,5160,4677,4800,4470,3649,3118,1620,0
BABA MAKHANA PUDINA MASALA TWIST - 75 GM,96,48,0,24,144,24,0,0,24,48,0,0
BABA MAKHANA SALT & BLC PPR 80GM,0,0,0,0,0,20,172,8,0,24,0,0
BABA NATURE'S MIRACLE AGLIO SAUCE 150G,6,16,0,5,2,0,5,29,15,1,0,0
BABA NATURE'S MIRACLE AOBITA SAUCE 400G,0,6,0,6,0,18,0,0,24,5,0,0
BABA NATURE'S MIRACLE CHETTINAD GRAVY,0,0,0,0,0,0,0,12,0,0,0,0
BABA NATURE'S MIRACLE DATE SWTNR 200G,0,0,0,0,0,0,0,4,14,4,0,0
BABA NATURE'S MIRACLE MAKHANI GRAVY 370g,0,0,0,0,0,3,3,0,0,0,0,0
BABA NATURE'S MIRACLE RATATO SPREAD 175G,6,0,0,4,0,3,33,21,9,0,0,0
BABA NATURE'S MIRACLE S.WICH SPREAD 175G,0,0,0,0,0,3,3,3,16,0,0,0
BABA NATURE'S MIRACLE TOMATO SALSA 175,2,8,0,3,11,14,39,18,0,0,0,0
BABA SF ACHARI MANGO CHIPS-45G,134,180,0,270,0,0,90,89,178,270,0,0
BABA SF ASSORTED BOX MAKHANA 3CANS*80G,0,0,0,0,0,0,56,0,0,0,0,0
BABA SF PUDINA MIX CHIPS-45G,90,90,90,270,0,0,0,0,90,90,0,0
BABA SF SALT & PEPPER CHIPS-45G,0,0,0,0,0,0,0,1440,0,0,0,0
BOROLINE ANTISEPTIC CR 20G T 42/-,0,0,500,0,0,0,500,227,0,652,0,0
BOROLINE ANTISEPTIC CR 40G JAR 80/-,0,0,360,0,0,0,240,524,0,1117,0,0
BOROLINE SUTHOL CHANDAN 200ML 85/-,0,0,120,0,0,0,0,0,0,0,0,0
BOROLINE SUTHOL CHANDAN SPRAY 100ML,0,0,120,0,0,0,0,0,0,0,0,0
BOROLINE SUTHOL NEEM 100ML 48/-,0,0,240,0,0,80,0,0,0,0,0,0
BOROLINE SUTHOL NEEM 200ML 85/-,0,0,360,0,0,0,0,0,0,0,0,0
BOROLINE SUTHOL NEEM SPRAY 100ML,0,0,240,0,0,0,0,0,0,0,0,0
BOROLINE SX ANTISEPTIC CR 100G 185/-,0,0,60,0,0,0,0,0,0,0,0,0
BOROLINE ULTRA SMOOTH ANTISEPTIC CRM 100,0,0,60,0,0,0,0,0,0,0,0,0
BOROLINE ULTRA SMOOTH CRM 20ml,0,0,0,0,0,0,180,0,0,159,0,0
BOROLINE ULTRA SMOOTH CRM 40GM,0,0,0,0,0,0,120,261,0,772,0,0
Denver Beer Shampoo Anti Dandruff 200ml,0,0,600,0,0,0,0,0,0,0,0,0
Denver Black Code Deo Cap,0,0,0,0,30,0,0,0,0,0,0,0
Denver Caliber Deo Cap,0,0,0,0,30,0,0,0,0,0,0,0
Denver Deo Blackcode 127G 280/-,3339,686,215,1160,124,0,222,12,63,119,6,0
Denver Deo Caliber 127gm 280/-,918,1524,1767,792,792,1326,735,290,807,870,6,0
Denver Deo Goal 127G 265/-,0,0,600,0,0,0,0,0,0,0,0,0
Denver Deo Hamilton 127gm 280/-,2059,4902,2016,3684,4047,5109,4649,3153,6441,3012,1215,0
Denver Deo Honour 127gm 280/-,488,1029,1149,900,435,123,480,243,205,138,12,0
Denver Deo Imperial 127gm 280/-,2542,2865,855,2904,2355,2223,2942,1683,1554,1641,1224,0
Denver Deo Men of Steel Drill 127G 280/-,0,0,0,0,0,900,0,0,0,0,0,0
Denver Deo Pride 127gm 280/-,975,1037,438,1023,558,300,546,440,381,157,9,0
Denver Deo Rider 127G 265/-,0,0,600,0,0,0,0,0,0,0,0,0
Denver Deo Victor 127G 280/-,0,0,900,300,0,0,1800,0,0,900,720,0
Denver Facewash Acne Clear 100G 225/-,0,720,0,0,0,0,0,0,0,0,0,0
