Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
Denver Deo Xtreme Reverence 100G 199/-,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,24.0
Denver Perfume Blackcode 60ml 249/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0
Denver Perfume Original 60ml 249/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0
DR B  DANDRUFF CLEANSING SHAMPOO 200ML,7.0,16.0,8.0,17.0,18.0,20.0,7.0,17.0,0.0,0.0,0.0,0.0,110.0
DR B ACNE FACE WASH 100 GM,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0
DR B ACNE FACE WASH50 GM,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
DR B ANTI DUNDRUFF SHAMPOO 500ML,1.0,6.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
DR B BATHING BAR 125G,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
DR B BATHING BAR 75G,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
DR B CONDITIONER 200ML,0.0,3.0,0.0,5.0,3.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,26.0
DR B DEO FOR MEN 150ML,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
DR B FACE WASH 100 GM,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
DR B FACE WASH 50GM,0.0,10.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
DR B FACE WASH INSTANT GLOW 100GM,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0
DR B FACE WASH INSTANT GLOW 50GM,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
DR B FOOT CARE CREAM 100G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DR B HAIR CARE KIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
DR B HAIR OIL 100ML,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
DR B HAIR OIL 200ML,0.0,5.0,0.0,2.0,2.0,15.0,6.0,2.0,0.0,0.0,0.0,0.0,32.0
Dr B Hair Vitalizing Serum 125ml,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
DR B HAIRFALL CONTROL SERUM 125ML,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DR B HAIRFALL CONTROL SHAMPOO 200ML,12.0,12.0,8.0,2.0,21.0,21.0,5.0,12.0,0.0,0.0,0.0,0.0,93.0
DR B HAIRFALL CONTROL SHAMPOO 500ML,0.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
DR B Hairfall Controll OIL 200ML,1.0,4.0,1.0,10.0,7.0,20.0,7.0,7.0,0.0,0.0,0.0,0.0,57.0
DR B HAND WASH 300 ML,0.0,0.0,6.0,0.0,0.0,11.0,8.0,4.0,0.0,0.0,0.0,0.0,29.0
DR B HERBAL COLOR CREAM 130G,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
DR B NON ALCOHOLIC SANITIZER 100ML,2.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
DR B NORMAL SHAMPOO 200ML,1.0,4.0,10.0,10.0,4.0,21.0,5.0,10.0,0.0,0.0,0.0,0.0,65.0
DR B NORMAL SHAMPOO 500ML,0.0,14.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
DR B OIL CONTROL FACE WASH 100G,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Emami 7 Oils in One 100ml,200.0,160.0,88.0,195.0,157.0,123.0,176.0,225.0,191.0,228.0,12.0,15.0,1770.0
Emami 7 Oils in One 200ml,246.0,177.0,114.0,248.0,158.0,170.0,122.0,195.0,277.0,286.0,71.0,0.0,2064.0
Emami Hair Color Burgundy 30/-,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,20.0
Emami Hair Color Cherry Red 30/-,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0
Emami Hair Color D Brown,21.0,37.0,1.0,30.0,3.0,18.0,16.0,5.0,0.0,0.0,0.0,0.0,131.0
Emami Hair Color N Black,18.0,59.0,13.0,15.0,12.0,49.0,23.0,36.0,43.0,15.0,0.0,0.0,283.0
Emami Hair Color N Brown,0.0,27.0,6.0,21.0,6.0,27.0,20.0,96.0,12.0,11.0,11.0,0.0,237.0
Envy 1000 Deo Crystal Texas Heat 135ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,96.0,288.0,552.0
Envy 1000 Deo Dark 100G,0.0,0.0,0.0,18.0,16.0,30.0,24.0,3.0,17.0,21.0,0.0,612.0,741.0
Envy 1000 Deo Fiery 100G,0.0,0.0,0.0,6.0,18.0,18.0,24.0,9.0,6.0,3.0,24.0,0.0,108.0
Envy 1000 Deo Force 97G,0.0,0.0,0.0,12.0,12.0,3.0,18.0,6.0,6.0,27.0,12.0,0.0,96.0
Envy 1000 Deo Luv 97G,0.0,0.0,0.0,9.0,3.0,12.0,19.0,3.0,6.0,12.0,24.0,0.0,88.0
EVA BODY SPRAY FRESH 125ML,0.0,0.0,475.0,363.0,592.0,168.0,255.0,745.0,113.0,453.0,151.0,448.0,3763.0
EVA DEO SPRAY BLUSH 125ML,0.0,0.0,81.0,239.0,338.0,177.0,217.0,310.0,86.0,325.0,95.0,219.0,2087.0
EVA DEO SPRAY COMBI 125ML,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0
EVA DEO SPRAY COMBI 125ML 199/,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
EVA DEO SPRAY DEW 125ML,0.0,0.0,0.0,18.0,0.0,12.0,0.0,6.0,0.0,0.0,24.0,0.0,60.0
EVA DEO SPRAY DOLL 125ML,0.0,0.0,523.0,340.0,605.0,312.0,171.0,527.0,270.0,438.0,135.0,311.0,3632.0
EVA DEO SPRAY FLIRT 125ML,0.0,0.0,0.0,12.0,30.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,66.0
EVA DEO SPRAY GLEE 125ML,0.0,0.0,0.0,20.0,16.0,10.0,13.0,26.0,0.0,0.0,16.0,5.0,106.0
EVA DEO SPRAY GROOVE 125ML,0.0,0.0,0.0,54.0,36.0,24.0,66.0,48.0,36.0,24.0,37.0,7.0,332.0
EVA DEO SPRAY SWEET 125ML,0.0,0.0,512.0,269.0,647.0,181.0,301.0,532.0,216.0,264.0,129.0,334.0,3385.0
EVA DEO SPRAY URBANE 125ML,0.0,0.0,192.0,186.0,210.0,132.0,42.0,102.0,133.0,24.0,30.0,47.0,1098.0
EVA DEO SPRAY WILD 125ML,0.0,0.0,368.0,257.0,632.0,65.0,326.0,605.0,204.0,235.0,101.0,499.0,3292.0
EVA DEO TALC FRESH 100GMS,0.0,0.0,248.0,266.0,0.0,197.0,86.0,38.0,96.0,19.0,86.0,247.0,1257.0
EVA DEO TALC FRESH 400GMS,0.0,0.0,48.0,19.0,19.0,7.0,14.0,0.0,0.0,0.0,54.0,83.0,244.0
EVA DEO TALC SANDAL 100G,0.0,0.0,74.0,122.0,64.0,87.0,25.0,12.0,67.0,15.0,70.0,205.0,741.0
EVA DEO TALC SWEET 100GMS,0.0,0.0,258.0,213.0,50.0,165.0,29.0,1.0,96.0,62.0,81.0,163.0,1118.0
EVA DEO TALC SWEET 400GMS,0.0,0.0,48.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,27.0,95.0,189.0
EVA DEO WHITENING FLORAL FUSION 125 ML,0.0,0.0,12.0,50.0,25.0,11.0,24.0,32.0,19.0,7.0,0.0,0.0,180.0
EVA DEOSPRAY WHITENING  FLORAL 150 ML,0.0,0.0,0.0,38.0,136.0,200.0,180.0,165.0,176.0,0.0,0.0,0.0,895.0
EVA FRESH  LIPS FRESH MINT 4.5 GM,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
EVA FRESH  LIPS LITCHI  4.5 GM,0.0,0.0,80.0,132.0,0.0,40.0,95.0,37.0,88.0,0.0,0.0,0.0,382.0
EVA FRESH  LIPS MINI LIP BAIM 1.2 GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0
EVA FRESH  LIPS RASPERRY 4.5 gm,0.0,0.0,0.0,24.0,0.0,36.0,92.0,34.0,41.0,0.0,6.0,22.0,207.0
EVA FRESH  LIPS ROSE 4.5 GM,0.0,0.0,80.0,24.0,40.0,7.0,0.0,0.0,107.0,211.0,0.0,68.0,537.0
EVA FRESH  LIPS STRAWBERRY 4.5 GM,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,200.0,0.0,79.0,512.0
EVA LIP BALM GREEN APPLE 9 GM,0.0,0.0,0.0,0.0,90.0,90.0,312.0,172.0,81.0,90.0,0.0,0.0,835.0
EVA LIP BALM GREEN STRAWBERRY  9 GM,0.0,0.0,280.0,0.0,0.0,90.0,306.0,247.0,150.0,180.0,0.0,0.0,1251.0
EVA LIP BALM ORANGE 9 GM,0.0,0.0,0.0,0.0,180.0,0.0,0.0,84.0,0.0,70.0,0.0,0.0,334.0
EVA SPORTS DEO COMBI 125ML,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
EVA SPORTS DEO COMBI 125ML 150/,0.0,0.0,0.0,24.0,43.0,0.0,0.0,0.0,0.0,1200.0,42.0,6.0,1315.0
EVA SPORTZ FITNESS DEO - BOUNCE 125ML,0.0,0.0,0.0,0.0,246.0,25.0,180.0,12.0,3.0,0.0,3.0,6.0,475.0
EVA SPORTZ FITNESS DEO - RUSH 125ML,0.0,0.0,0.0,3.0,139.0,29.0,60.0,54.0,3.0,0.0,1.0,2.0,291.0
FAH Face Wash 100 gm,294.0,310.0,206.0,377.0,998.0,203.0,189.0,151.0,155.0,80.0,75.0,6.0,3044.0
FAH Face Wash 50 gm,172.0,296.0,206.0,167.0,148.0,118.0,141.0,105.0,158.0,93.0,4.0,0.0,1608.0
FAH Laser Adv Whitening Cream 30 gm,274.0,168.0,185.0,222.0,270.0,206.0,295.0,203.0,94.0,132.0,83.0,34.0,2166.0
FAH Laser Adv Whitening Cream 60 gm,235.0,132.0,97.0,273.0,325.0,264.0,194.0,99.0,100.0,274.0,59.0,0.0,2052.0
FAH Oilclear Face Wash 100 gm,293.0,187.0,159.0,157.0,509.0,148.0,250.0,105.0,137.0,71.0,60.0,0.0,2076.0
FAH Oilclear Face Wash 50 gm,119.0,115.0,48.0,186.0,9.0,0.0,104.0,111.0,138.0,98.0,0.0,0.0,920.0
FAH Pimple Clear F. Wash 100 gm,0.0,12.0,0.0,0.0,0.0,0.0,0.0,157.0,32.0,24.0,0.0,0.0,225.0
FAH Pimple Clear F. Wash 50 gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,23.0,27.0,33.0,0.0,253.0
FAH Winter Cream 30 gm,6.0,3.0,0.0,0.0,0.0,53.0,398.0,87.0,94.0,0.0,0.0,0.0,641.0
FAH Winter Cream 60 gm,86.0,0.0,0.0,0.0,0.0,4.0,138.0,136.0,144.0,19.0,0.0,0.0,507.0
Fair & Handsome 30 gm,651.0,333.0,0.0,270.0,135.0,126.0,465.0,225.0,148.0,173.0,128.0,7.0,2661.0
Fair & Handsome 60 gm,470.0,409.0,849.0,397.0,702.0,431.0,123.0,182.0,639.0,1107.0,107.0,53.0,5469.0
Golden Beauty AD 100gm,64.0,0.0,30.0,12.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,120.0
Golden Beauty AD 400 gm,185.0,78.0,59.0,36.0,57.0,40.0,60.0,28.0,48.0,45.0,0.0,0.0,636.0
Golden Beauty MD 100gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0
Golden Beauty MD 400gm,78.0,72.0,39.0,34.0,62.0,55.0,52.0,21.0,36.0,18.0,0.0,0.0,467.0
GOODHOME AFR (3+1) 50g 120/-,0.0,0.0,108.0,72.0,209.0,1.0,48.0,192.0,48.0,60.0,72.0,84.0,894.0
GOODHOME AFR (3+1) 75g 165/-,0.0,0.0,60.0,66.0,168.0,24.0,168.0,108.0,120.0,48.0,48.0,54.0,864.0
GOODHOME AFR DREAMS OF DEW 50G,0.0,0.0,36.0,96.0,144.0,48.0,144.0,63.0,48.0,72.0,72.0,42.0,765.0
GOODHOME AFR DREAMS OF DEW 75G,0.0,0.0,48.0,96.0,193.0,99.0,197.0,124.0,137.0,79.0,70.0,82.0,1125.0
GOODHOME AFR FLORAL FANTACY 50,0.0,0.0,72.0,72.0,132.0,72.0,108.0,144.0,216.0,60.0,54.0,36.0,966.0
GOODHOME AFR FLORAL FANTACY 75,0.0,0.0,95.0,48.0,138.0,96.0,130.0,141.0,106.0,11.0,48.0,72.0,885.0
GOODHOME AFR Jasmine 55/,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
GOODHOME AFR Rose 55/,0.0,0.0,0.0,24.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,45.0
GOODHOME AFR WHISPERS OF PASSION,0.0,0.0,36.0,48.0,144.0,72.0,292.0,119.0,168.0,84.0,48.0,78.0,1089.0
GOODHOME AFR WHISPERS OF PASSION 55/,0.0,0.0,108.0,66.0,168.0,114.0,168.0,96.0,108.0,42.0,48.0,78.0,996.0
GOODHOME Drain Cleanser 50g,0.0,0.0,160.0,178.0,296.0,0.0,152.0,280.0,297.0,466.0,166.0,309.0,2304.0
GOODHOME RF Dream of Dew Lavender 160GMS,0.0,0.0,0.0,12.0,0.0,54.0,82.0,31.0,30.0,41.0,37.0,36.0,323.0
GOODHOME RF FLORAL Fantacy,0.0,0.0,0.0,0.0,0.0,48.0,76.0,31.0,24.0,18.0,11.0,23.0,231.0
GOODHOME RF JASMINE 160GMS,0.0,0.0,0.0,12.0,0.0,0.0,6.0,1.0,0.0,0.0,17.0,7.0,43.0
GOODHOME RF PASSION -ROSE 160GMS,0.0,0.0,0.0,12.0,6.0,24.0,94.0,41.0,67.0,36.0,41.0,43.0,364.0
GOODHOME RF SANDAL 160GMS,0.0,0.0,0.0,12.0,6.0,6.0,0.0,6.0,3.0,0.0,12.0,13.0,58.0
GOODHOME SCRUB PAD 2+1 30/-,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
GOODHOME SCRUB PAD 2-IN-1,0.0,0.0,144.0,240.0,204.0,1584.0,632.0,480.0,528.0,497.0,96.0,48.0,4453.0
GOODHOME SCRUB PAD LARGE COMBI 40//,0.0,0.0,0.0,0.0,0.0,852.0,1431.0,432.0,332.0,0.0,0.0,888.0,3923.0
GOODHOME SCRUB PAD REGULAR LARGE 14 X 10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,5.0,25.0
GOODHOME SCRUB PAD TOUGH 7.5 X 7.5,0.0,0.0,96.0,192.0,144.0,1392.0,778.0,634.0,586.0,255.0,139.0,80.0,4296.0
GOODHOME SS SCRUBBER,0.0,0.0,816.0,732.0,1900.0,792.0,2472.0,888.0,1466.0,1584.0,1128.0,1632.0,13410.0
GOODHOME UNBLOX 50GMS,0.0,0.0,0.0,0.0,76.0,12.0,0.0,0.0,30.0,18.0,6.0,0.0,142.0
He Body Prf  Power 122 ml,162.0,48.0,11.0,91.0,21.0,66.0,129.0,77.0,455.0,46.0,21.0,0.0,1127.0
He Body Prf Force 120 ml,63.0,30.0,48.0,66.0,33.0,0.0,95.0,176.0,156.0,32.0,21.0,0.0,720.0
He Body Spray (2+1) 150ml 360/-,0.0,0.0,0.0,16.0,7.0,35.0,35.0,14.0,13.0,36.0,12.0,0.0,168.0
He Body Spray Arctic No-Gas 122 ml,69.0,30.0,30.0,84.0,6.0,71.0,44.0,50.0,3.0,48.0,0.0,0.0,435.0
He Body Spray Hypnotic No-Gas 122 ml,0.0,48.0,0.0,0.0,0.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0,145.0
He Body Spray Innovator 150 ml,208.0,74.0,110.0,151.0,755.0,305.0,125.0,197.0,601.0,187.0,21.0,0.0,2734.0
He Body Spray Lagon No-Gas 122 ml,34.0,32.0,28.0,153.0,728.0,0.0,9.0,0.0,15.0,9.0,28.0,0.0,1036.0
He Body Spray Passion No-Gas 122 ml,109.0,87.0,0.0,30.0,45.0,21.0,0.0,39.0,30.0,24.0,3.0,0.0,388.0
He On The Go Face Wash 50 gm,76.0,29.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
He Perfume Body Spray 150ml(2+1),112.0,45.0,42.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,217.0
He Perfumed Body Spray (Magician) 150 ml,15.0,59.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0
He Perfumed Body Spray (Respect) 150 m,118.0,101.0,162.0,181.0,561.0,102.0,151.0,158.0,774.0,377.0,87.0,34.0,2806.0
He Perfumed Body Spray (Ruler) 150 ml,21.0,15.0,36.0,0.0,0.0,6.0,6.0,0.0,14.0,6.0,0.0,0.0,103.0
He Perfumed Body Spray (Smart) 150 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0
He PerfumedBody Spray (Conqueror) 150ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Himani Fast Relief  23ML,24.0,15.0,13.0,58.0,67.0,29.0,29.0,34.0,47.0,18.0,0.0,0.0,334.0
