Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
Additional Trade Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAMBINO GULAB JAMUN MIX 180GM 1+1,273.0,1422.0,348.0,936.0,990.0,87.0,1402.0,872.0,818.0,468.0,117.0,3698.0,11431.0
BAMBINO INS. PASTA CHEESE 65GM,0.0,0.0,0.0,0.0,0.0,0.0,663.0,507.0,78.0,468.0,0.0,598.0,2314.0
BAMBINO INS. PASTA MASALA 65GM,0.0,0.0,0.0,0.0,0.0,0.0,741.0,429.0,156.0,390.0,78.0,156.0,1950.0
BAMBINO INS. PASTA TOMATO 65GM,0.0,0.0,0.0,0.0,0.0,0.0,780.0,390.0,78.0,468.0,78.0,429.0,2223.0
BAMBINO KHEER MIX 180GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,168.0,141.0,76.0,390.0,927.0
BAMBINO MACARONI 200 GM,2391.0,2884.0,4802.0,2832.0,719.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,13706.0
BAMBINO MACARONI 200 GM 20/-,0.0,0.0,0.0,0.0,3491.0,3610.0,2915.0,1980.0,2138.0,4417.0,4494.0,4078.0,27123.0
BAMBINO MACARONI 450 GM,0.0,0.0,0.0,0.0,6435.0,7133.0,9299.0,8632.0,7602.0,7493.0,8446.0,10247.0,65287.0
BAMBINO MACARONI 450 GM 43/-,6432.0,5892.0,11353.0,9318.0,7283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40274.0
BAMBINO MACARONI 900 GM,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,95.0
BAMBINO MACARONI 900 GM 80/,4713.0,4347.0,5808.0,5259.0,9417.0,6028.0,5782.0,5621.0,3365.0,4960.0,5436.0,6294.0,67030.0
BAMBINO PASTA PENNE 250GM,335.0,802.0,1815.0,446.0,1646.0,779.0,1633.0,890.0,1393.0,324.0,159.0,369.0,10591.0
BAMBINO PASTA SPIRALLI 250GM,96.0,0.0,240.0,206.0,226.0,192.0,691.0,275.0,245.0,5.0,147.0,384.0,2707.0
BAMBINO PASTA SPIRALLI 500GM,66.0,90.0,306.0,108.0,482.0,192.0,480.0,305.0,457.0,184.0,240.0,629.0,3539.0
BAMBINO PENNE PASTA 500GM,450.0,359.0,1418.0,1529.0,1605.0,1116.0,1953.0,766.0,1404.0,1242.0,1292.0,1474.0,14608.0
BAMBINO ROASTED JAR650GM,143.0,32.0,96.0,32.0,0.0,48.0,48.0,32.0,32.0,192.0,223.0,64.0,942.0
BAMBINO ROASTED VERMICELLI 900 G,2749.0,4259.0,7312.0,5117.0,6792.0,3717.0,7700.0,5246.0,6922.0,4780.0,4025.0,5338.0,63957.0
BAMBINO ROASTED VERMICELLI-200 GM,2243.0,1274.0,1449.0,2416.0,2346.0,1471.0,1880.0,1285.0,986.0,2811.0,2789.0,2496.0,23446.0
BAMBINO ROASTED VERMICELLI-450 GM,4131.0,6167.0,8414.0,7371.0,10288.0,6277.0,10174.0,6765.0,5754.0,5912.0,6385.0,10175.0,87813.0
BAMBINO SOUP HOT N SOUR 50G,0.0,0.0,0.0,0.0,0.0,196.0,698.0,104.0,184.0,0.0,0.0,0.0,1154.0
BAMBINO SOUP MIX VEG 60G,0.0,0.0,0.0,0.0,0.0,0.0,4832.0,5184.0,4008.0,912.0,48.0,156.0,15140.0
BAMBINO SOUP SWEET CORN 50G,0.0,0.0,0.0,0.0,208.0,0.0,4158.0,4884.0,2804.0,864.0,0.0,0.0,12902.0
BAMBINO SOUP TOMATO 60G,0.0,0.0,0.0,0.0,0.0,176.0,8912.0,4248.0,4380.0,1340.0,0.0,0.0,19056.0
BAMBINO UPMA MIX 180GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,585.0,741.0
BAMBINO VERMICELLI  875 G,3027.0,2471.0,3466.0,1834.0,4170.0,3610.0,4750.0,3253.0,3435.0,3211.0,3186.0,4212.0,40625.0
BAMBINO VERMICELLI 250 GM,277.0,583.0,1373.0,599.0,972.0,735.0,929.0,687.0,406.0,455.0,234.0,364.0,7614.0
BAMBINO VERMICELLI 450GM,3284.0,3317.0,3842.0,3366.0,4622.0,2692.0,4097.0,2871.0,1537.0,2296.0,2105.0,3047.0,37076.0
Boroplus Antiseptic Cream 120 ml,0.0,0.0,0.0,0.0,0.0,46.0,189.0,224.0,376.0,91.0,0.0,0.0,926.0
Boroplus Antiseptic Cream 19 ml,183.0,108.0,60.0,108.0,44.0,204.0,324.0,470.0,750.0,454.0,239.0,189.0,3133.0
Boroplus Antiseptic Cream 40 ml,246.0,290.0,275.0,438.0,484.0,355.0,812.0,1063.0,903.0,1254.0,395.0,1.0,6516.0
Boroplus Antiseptic Cream 80 ml,272.0,130.0,144.0,443.0,2868.0,864.0,1059.0,1309.0,1257.0,1517.0,98.0,0.0,9961.0
Boroplus Cocoa Soft Moist.Lot. 100 ml,0.0,0.0,0.0,0.0,0.0,3.0,60.0,84.0,17.0,48.0,0.0,0.0,212.0
Boroplus Grp & Olv Moist.Lot. 100 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,59.0,42.0,20.0,0.0,241.0
Boroplus Prickly Heat Powder IC 150,188.0,217.0,203.0,167.0,109.0,102.0,42.0,0.0,0.0,36.0,0.0,0.0,1064.0
BP Adv Winter Moist Lot. 300 ml 230/-,66.0,29.0,0.0,22.0,0.0,54.0,854.0,1306.0,896.0,414.0,14.0,0.0,3655.0
BP Adv.Winter Moist.Lot. 100 ml,0.0,0.0,0.0,0.0,0.0,0.0,84.0,201.0,159.0,135.0,24.0,70.0,673.0
BP Adv.Winter Moist.Lotion 500 ml,0.0,0.0,0.0,0.0,0.0,28.0,69.0,101.0,85.0,0.0,26.0,0.0,309.0
BP Alovera & Coco Face Wash 50 ml,38.0,18.0,17.0,110.0,9.0,6.0,21.0,4.0,1.0,0.0,0.0,0.0,224.0
BP H White Cream 25gm,18.0,18.0,32.0,112.0,23.0,36.0,43.0,66.0,10.0,45.0,8.0,0.0,411.0
BP Perfect Touch A Cream 20 ml,0.0,0.0,0.0,0.0,0.0,0.0,117.0,207.0,216.0,0.0,0.0,0.0,540.0
BP Zero Oil Zero Pimple Face Wash 50 ml,12.0,7.0,21.0,96.0,6.0,24.0,15.0,5.0,5.0,0.0,0.0,0.0,191.0
BP Zero Oil Zero Pimple Face Wash 80 ml,18.0,24.0,23.0,299.0,82.0,26.0,6.0,2.0,0.0,2.0,18.0,33.0,533.0
Denver Deo Blackcode 100G 199/-,0.0,0.0,0.0,135.0,30.0,27.0,38.0,21.0,36.0,0.0,30.0,612.0,929.0
Denver Deo BlueSport 100G 199/-,0.0,0.0,0.0,150.0,33.0,18.0,12.0,18.0,36.0,0.0,27.0,633.0,927.0
Denver Deo Caliber 105gm 210/-,0.0,0.0,0.0,138.0,27.0,42.0,42.0,9.0,36.0,0.0,24.0,66.0,384.0
Denver Deo Caliber 127gm 249/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,481.0
Denver Deo Hamilton 105gm 210/-,0.0,0.0,0.0,309.0,39.0,81.0,38.0,28.0,36.0,24.0,50.0,130.0,735.0
Denver Deo Hamilton 127gm 249/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,504.0
Denver Deo Honour 105gm 210/-,0.0,0.0,0.0,855.0,48.0,854.0,465.0,435.0,419.0,468.0,234.0,404.0,4182.0
Denver Deo Honour 127gm 249/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0
Denver Deo Imperial 105gm 210/-,0.0,0.0,0.0,756.0,42.0,843.0,180.0,381.0,399.0,777.0,594.0,549.0,4521.0
Denver Deo Imperial 127gm 249/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0
Denver Deo Original 150ml,0.0,0.0,0.0,21.0,45.0,33.0,39.0,27.0,33.0,3.0,21.0,570.0,792.0
Denver Deo Pride 105gm 210/-,0.0,0.0,0.0,888.0,90.0,771.0,455.0,297.0,429.0,780.0,345.0,446.0,4501.0
Denver Deo Pride 127gm 249/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0
Denver Deo Royal Oud 150ml 210/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,540.0
Denver Deo Xtreme 2+1,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Denver Deo Xtreme Endurance 100G 199/-,0.0,0.0,0.0,3.0,36.0,33.0,30.0,3.0,0.0,30.0,12.0,0.0,147.0
Denver Deo Xtreme Performance100G 199/-,0.0,0.0,0.0,0.0,0.0,12.0,12.0,6.0,9.0,0.0,12.0,0.0,51.0
