Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
BP Adv.Winter Moist.Lotion 500 ml,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BP H White Cream 25gm,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
BP Zero Oil Zero Pimple Face Wash 80 ml,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
CREMICA `SAND SPR MINT 275g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,30.0,24.0,36.0,112.0
CREMICA CCEASER SALAD DRESSING ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,12.0,48.0
CREMICA CHIPOTLE SAND SPREAD 275G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,22.0,48.0,165.0,282.0
CREMICA CHIPOTLE SAUCE 435 GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,24.0,12.0,72.0
CREMICA CHOCOLATE SYRUP 700g,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,168.0,461.0,27.0,2482.0,3210.0
CREMICA FRENCH FRIES CLASSIC 75Gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,0.0,0.0,32.0,0.0,920.0
CREMICA IMLI CHATAKA 500g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,24.0,12.0,12.0,72.0
CREMICA MAYO BURGER 275g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,6.0,48.0,24.0,102.0
CREMICA MAYO CARROT & CUCUMBER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,12.0,48.0
CREMICA MAYO EGG PET 275GM,0.0,0.0,0.0,0.0,0.0,12.0,0.0,24.0,12.0,32.0,157.0,6.0,243.0
CREMICA MAYO LITE 275g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
CREMICA MAYO VEG PET 275GM,0.0,0.0,0.0,0.0,0.0,12.0,0.0,21.0,12.0,26.0,111.0,94.0,276.0
Cremica Mix Fruit Jam 480gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,12.0,60.0,816.0,984.0
