Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
20007 Happilo Turkish Apricots 200g,0.0,0.0,50.0,0.0,30.0,229.0,68.0,83.0,66.0,53.0,110.0,80.0,769.0
20014 Happilo Dried Bluberries 150gm,0.0,0.0,0.0,150.0,0.0,0.0,200.0,62.0,50.0,50.0,12.0,0.0,524.0
20021 Happilo Califo Almond R&S 200g,22.0,18.0,0.0,239.0,92.0,234.0,272.0,22.0,56.0,45.0,11.0,0.0,1011.0
20038 Happilo Clf Whole Cranberries 200g,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
20045 Happilo Drd& PIT Calfo Pruns 200g,0.0,0.0,0.0,0.0,30.0,166.0,30.0,12.0,60.0,71.0,100.0,0.0,469.0
20052 Happilo Califo R&S Pistachios 200g,0.0,0.0,30.0,200.0,0.0,0.0,200.0,62.0,56.0,50.0,0.0,0.0,598.0
20069 Happilo  Intl Supermix Berries 200,49.0,0.0,86.0,440.0,226.0,292.0,190.0,44.0,6.0,19.0,112.0,70.0,1534.0
20076 Happilo Califo Walnut Kernel 200g,0.0,0.0,0.0,150.0,3.0,0.0,0.0,12.0,0.0,36.0,62.0,1.0,264.0
20083 Happilo Cashews R&S 200g,17.0,0.0,36.0,0.0,42.0,207.0,50.0,22.0,66.0,0.0,12.0,130.0,582.0
20090 Happilo Healthy Nutmix 200g,45.0,0.0,240.0,0.0,40.0,27.0,120.0,44.0,6.0,0.0,162.0,62.0,743.0
20151 Happilo Natural Califo Almds 200g,0.0,0.0,129.0,350.0,243.0,12.0,426.0,12.0,6.0,0.0,24.0,0.0,1202.0
20168 Happilo Sliced Cranberries 200g,0.0,0.0,0.0,300.0,20.0,174.0,2090.0,12.0,56.0,150.0,110.0,10.0,2922.0
20175 HappiloDeluxe Kashmiri Walnut 200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0
20182 HappiloPrm Kashmiri Walnut 200g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,12.0,0.0,48.0
20199 Happilo Intl Nuts & Berries 200g,102.0,108.0,0.0,108.0,46.0,22.0,58.0,34.0,16.0,0.0,12.0,0.0,506.0
20205 Happilo Intl Trial Mix 200g,71.0,36.0,0.0,350.0,0.0,0.0,177.0,149.0,0.0,18.0,12.0,0.0,813.0
20212 Happilo Prem Calfn Inshell Walnut,0.0,0.0,0.0,72.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,93.0
20229 HappiloPrem Whole Cashews 200g,0.0,0.0,50.0,350.0,340.0,72.0,348.0,12.0,56.0,250.0,12.0,0.0,1490.0
20236 HappiloPrem Seedless Raisin 250g,0.0,0.0,150.0,100.0,12.0,270.0,12.0,16.0,12.0,215.0,3.0,24.0,814.0
