Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
20243 Happilo Afghani Seedless G Raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,62.0,0.0,162.0
20250 Happilo Snack Pack Califo R Ald 35,0.0,0.0,0.0,576.0,0.0,60.0,600.0,0.0,0.0,0.0,0.0,0.0,1236.0
20267 HappiloSnack Pack Califo CBerry,0.0,0.0,0.0,576.0,450.0,24.0,360.0,0.0,0.0,0.0,0.0,0.0,1410.0
20298 HappiloSnack Pack R Cashews 35g,0.0,0.0,0.0,720.0,600.0,60.0,201.0,0.0,0.0,0.0,0.0,0.0,1581.0
20373 Happilo Intl Exotic Brazil Nuts150,0.0,0.0,1.0,10.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
20434 HappiloPrm Afghani Blc Raisin 250,0.0,0.0,0.0,0.0,40.0,328.0,33.0,108.0,56.0,115.0,116.0,19.0,815.0
20472 Happilo Intl Salted Party Mix 200g,0.0,18.0,0.0,300.0,40.0,77.0,98.0,84.0,66.0,49.0,0.0,110.0,842.0
20564 Happilo INSHELL WALNUT 500G,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,48.0,80.0,175.0
20571 Happilo Calfn inShell Walnut 1000g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0
20670 Happilo Prem Afghani Anjeer 200g,0.0,0.0,150.0,400.0,83.0,276.0,232.0,32.0,126.0,99.0,6.0,16.0,1420.0
20687 Happilo Prem Ir R&S Pistachios 200,0.0,0.0,0.0,0.0,40.0,10.0,65.0,52.0,16.0,0.0,11.0,130.0,318.0
20694 HappiloPremium KS Cashew 200g,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
20991 Happilo Prem S&R Pumpkin Seeds 200,0.0,0.0,0.0,0.0,30.0,205.0,59.0,50.0,25.0,0.0,138.0,62.0,560.0
21004 Happilo Prem Pumpkin Seeds 200g,0.0,0.0,36.0,300.0,0.0,0.0,12.0,0.0,0.0,15.0,12.0,0.0,375.0
21035 Happilo Prem Queen Kalmi Dates 200,0.0,0.0,0.0,0.0,40.0,206.0,80.0,0.0,0.0,0.0,261.0,40.0,617.0
21042 Happilo KING MEDJOUL DATES 200G,0.0,0.0,36.0,0.0,40.0,10.0,50.0,30.0,20.0,0.0,0.0,10.0,160.0
21059 Happilo Prem Omani Dates 250g,0.0,0.0,50.0,50.0,88.0,268.0,62.0,164.0,36.0,149.0,20.0,100.0,987.0
21073 Happilo Prem Seeds & Berries 200g,0.0,0.0,0.0,0.0,40.0,60.0,34.0,120.0,20.0,0.0,6.0,0.0,272.0
21080 Happilo Prem Dried B'berry C'berry,0.0,0.0,0.0,150.0,90.0,216.0,260.0,12.0,16.0,0.0,4.0,106.0,854.0
22469 Happilo Prm Authtic Flax Seeds 200,0.0,0.0,60.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,90.0
22476 Happilo Prm White CHIA Seeds 250G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,20.0,0.0,0.0,50.0
22483 Happilo Prem Raw Melon Seeds 200g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0
22827 Ziofit Californian Almonds,0.0,0.0,24.0,24.0,0.0,24.0,48.0,24.0,12.0,24.0,24.0,48.0,252.0
22834 Ziofit Indian Whole Cashew,0.0,0.0,24.0,48.0,0.0,0.0,24.0,24.0,12.0,0.0,47.0,95.0,274.0
22841 Ziofit Indian Long Raisins 200,0.0,0.0,0.0,48.0,0.0,24.0,72.0,48.0,12.0,0.0,6.0,112.0,322.0
22858 Ziofit R&S Pistachios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,118.0,166.0
22865 Ziofit Californian Inshell Walnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
22889 Ziofit Indian Cashewnuts 200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22896 Ziofit Californian Almonds,0.0,0.0,12.0,24.0,12.0,24.0,12.0,24.0,6.0,0.0,0.0,102.0,215.0
22902 Ziofit Indian Whole Cashew,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,59.0,83.0
22926 Ziofit Indian Long Raisins,0.0,0.0,9.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,108.0,165.0
22933 Ziofit Californian Inshell Walnuts,0.0,0.0,0.0,24.0,6.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,65.0
22940 Ziofit Indian Cashewnuts&Almon 500,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
22964 Ziofit Classic Sultan Date 500g,0.0,0.0,0.0,0.0,0.0,36.0,0.0,48.0,12.0,0.0,12.0,120.0,228.0
22971 Ziofit Walnuts Kernels Ext 250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23046 Ziofit Classic Sultan Date 250,0.0,0.0,0.0,24.0,0.0,24.0,48.0,0.0,0.0,0.0,24.0,144.0,264.0
23053 Ziofit Walnut Kernels Extr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0
23060 Ziofit Walnut Kernels Extr 250G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,115.0
23107 Ziofit Classic Sultan Dates 500g,0.0,0.0,24.0,0.0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,60.0
23206 Happilo Prm Dried Strawberry 200g,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0
23213 Happilo Intl Fruid Medley 200g,0.0,0.0,36.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
23619 Happilo Natural Almond 500g,0.0,2.0,25.0,175.0,52.0,44.0,4047.0,22.0,56.0,80.0,7487.0,0.0,11990.0
23626 Happilo Prem Whole Cashews 500g,0.0,2.0,0.0,150.0,46.0,44.0,146.0,32.0,26.0,0.0,1858.0,45.0,2349.0
23633 Happilo Prem Seedles Raisins 500g,0.0,0.0,0.0,300.0,56.0,50.0,125.0,12.0,6.0,0.0,24.0,45.0,618.0
23640 Happilo Premium Califo Almond,0.0,0.0,0.0,0.0,760.0,219.0,80.0,28.0,5.0,0.0,12.0,136.0,1240.0
23725 Happilo Dry Fruit Celeb Mercury,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,79.0
23749 Happilo Dry Fruit Celeb Earth,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.0,0.0,0.0,0.0,0.0,729.0
23756 Happilo Dry Fruit Celeb Marsh,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,100.0
23763 Happilo Dry Fruit Celeb Jupiter450,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,246.0
23770 Happilo Dry Fruit Celeb Saturn1049,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0
23817 Ziofit Classic Sultan Seeded Dates,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
24265 Happilo Combo Cashew200+Almond200g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26825 Happilo Dry Fruit Celeb DAFFODIL,0.0,0.0,0.0,0.0,0.0,0.0,574.0,0.0,0.0,0.0,0.0,0.0,547.0
26832 Happilo Dry Fruit Celebrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26849 Happilo Dry Fruit Celeb Irish,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,349.0
26863 Happilo Dry Fruit Celeb Marrigold,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
26894 Happilo Dry Fruit Celeb Sunflower,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0
27181 Happilo Super Mom Trial Mix 350g,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,25.0,75.0,150.0
27211 Happilo Prem Seeds & Nuts Mix 250g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
27563 Happilo Prem Intl Fitness Mix 160g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
27570 Happilo Prem Intl Health Mix 160g,0.0,0.0,0.0,0.0,40.0,60.0,60.0,49.0,58.0,0.0,0.0,126.0,393.0
27587 Happilo Prm Intrn Champion Mix 160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0
28034 Happilo Dry Fruit Celebrat,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0
28041 Happilo Dry Fruit Celebrat,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,201.0
28072 Happilo Dry Fruit Celebration Pack,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,346.0
28102 Happilo Dry Fruit Celeb Jasmine,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0
28126 Happilo Dry Fruit Celeb LILY,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,174.0
28157 Happilo Dry Fruit Celeb Cherry,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
8906081120281 HappiloSnack Pack Supermi,0.0,0.0,0.0,431.0,300.0,180.0,400.0,0.0,0.0,0.0,0.0,0.0,1311.0
8906081120304 HappiloSnack Pack Interna,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0
8906081121240 Happilo Premium Oven Roast,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
8906081122544 Happilo Premium Internatio,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
8906081122988 Ziofit Dried Figs 200g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,109.0
Additional Trade Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baba Elaichi Silver Coated 10 g,30.0,25.0,325.0,0.0,80.0,70.0,10.0,260.0,10.0,140.0,58.0,110.0,1118.0
Baba Elaichi Silver Coated 6 g,40.0,70.0,10.0,50.0,40.0,30.0,50.0,50.0,50.0,90.0,69.0,100.0,649.0
BABA FRU ASSORTED JELLY JAR,50.0,150.0,0.0,0.0,100.0,50.0,100.0,50.0,0.0,100.0,0.0,0.0,537.0
BABA FRU ASSORTED JELLY POUCH (3.6x100),0.0,30.0,30.0,30.0,30.0,60.0,90.0,60.0,0.0,0.0,0.0,0.0,294.0
BABA FRU ASSORTED JELLY POUCH (3.6X30),0.0,200.0,200.0,0.0,200.0,100.0,0.0,200.0,0.0,150.0,0.0,100.0,1087.0
BABA LIQUID LIFE NAT. MINERAL WATER 15L,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,62.0
BABA LIQUID LIFE NAT. MINERAL WATER 1L,1944.0,1464.0,804.0,1032.0,1452.0,1140.0,864.0,1056.0,696.0,360.0,672.0,1200.0,12684.0
BABA LIQUID LIFE NAT. MINERAL WATER 200,600.0,744.0,792.0,765.0,264.0,216.0,336.0,216.0,288.0,432.0,408.0,576.0,5637.0
BABA MAKHANA ACHARI MANGO TWIST - 16GM,449.0,900.0,270.0,630.0,179.0,597.0,450.0,810.0,778.0,439.0,202.0,807.0,6511.0
BABA MAKHANA ACHARI MANGO TWIST - 75 GM,8.0,114.0,56.0,28.0,24.0,32.0,56.0,0.0,39.0,24.0,0.0,21.0,402.0
BABA MAKHANA CHEESY GARLIC TWIST - 16 GM,0.0,900.0,2700.0,1350.0,2700.0,450.0,0.0,450.0,0.0,0.0,0.0,270.0,8820.0
BABA MAKHANA CHEESY SALT & BLC P - 16 GM,0.0,0.0,0.0,0.0,0.0,450.0,0.0,450.0,0.0,0.0,0.0,0.0,900.0
BABA MAKHANA COMBI - 24*3 GM,0.0,0.0,0.0,150.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0
BABA MAKHANA LEMON MASALA TWIST - 16GM,1710.0,3240.0,3599.0,3600.0,3690.0,1798.0,1350.0,1709.0,1027.0,1438.0,1472.0,1888.0,26521.0
BABA MAKHANA LEMON MASALA TWIST - 75 GM,8.0,114.0,56.0,40.0,58.0,56.0,56.0,24.0,55.0,48.0,0.0,40.0,555.0
BABA MAKHANA PERI PERI TWIST - 16GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,270.0
BABA MAKHANA PUDINA MASALA TWIST - 16GM,2655.0,3688.0,1170.0,4499.0,1160.0,3506.0,1800.0,3150.0,1963.0,1880.0,1710.0,3959.0,31140.0
BABA MAKHANA PUDINA MASALA TWIST - 75 GM,8.0,114.0,56.0,70.0,0.0,56.0,128.0,48.0,77.0,56.0,24.0,24.0,661.0
BABA NATURE'S MIRACLE AGLIO SAUCE 150G,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,36.0,0.0,0.0,31.0
BABA NATURE'S MIRACLE AOBITA SAUCE 400G,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,6.0,48.0
BABA NATURE'S MIRACLE CHETTINAD GRAVY,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,36.0,0.0,0.0,34.0
BABA NATURE'S MIRACLE TOMATO SALSA 175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,36.0,0.0,0.0,29.0
BABA SF ACHARI MANGO CHIPS-45G,720.0,539.0,450.0,90.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,135.0,2050.0
BABA SF PUDINA MIX CHIPS-45G,720.0,900.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,180.0,135.0,2321.0
BABA SF SALT & PEPPER CHIPS-45G,720.0,899.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.0
Business Support Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B'WALA ALMOND KERNELS 250GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B'WALA ALMOND KERNELS 500GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B'WALA GIFT BOX  300GM 655/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B'WALA GIFT BOX  550GM 1201/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B'WALA JUMBO ALMOND KERNELS 250GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B'WALA PISTACHIO R&S 250GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B'WALA WALNUT KERNELS 250GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASHEW W320 1KG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumer Promotions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREMICA CHIPOTLE SAND SPREAD 275G,48.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
CREMICA CHOCOLATE SYRUP 625g,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
CREMICA CLASSIC SAND SPR 275G,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
CREMICA IMLI CHATAKA 200g,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
CREMICA MAYO BURGER 275g,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
CREMICA MAYO EGG PET 275GM,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
CREMICA MAYO VEG PET 275GM,33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Cremica Mix Fruit Jam 250gm,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Cremica Mix Fruit Jam 480gm,12.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
CREMICA PIZZA PASTA SAUCE 200gm,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
CREMICA SAND SPREAD CHEESE 275G,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
CREMICA TOM KETCHUP SQUEASY 950GM,270.0,173.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.0
CREMICA TOMATO KETCHUP SQU 200 GM,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
Cremica Veg Mayo Squeeze 875gm,38.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Denver Deo Blackcode 127G 265/-,1230.0,1302.0,557.0,1256.0,1717.0,660.0,2244.0,932.0,1101.0,1050.0,2547.0,135.0,14731.0
Denver Deo Caliber 127gm 280/-,120.0,3453.0,177.0,290.0,855.0,486.0,3132.0,274.0,915.0,2046.0,1329.0,1533.0,14610.0
Denver Deo Hamilton 105gm 210/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,1200.0
Denver Deo Hamilton 127gm 280/-,1500.0,958.0,2628.0,1007.0,3264.0,984.0,4485.0,3066.0,1767.0,2235.0,4786.0,5082.0,31762.0
Denver Deo Honour 127gm 280/-,660.0,280.0,111.0,155.0,84.0,45.0,43.0,188.0,255.0,243.0,726.0,207.0,2997.0
Denver Deo Imperial 127gm 280/-,660.0,1020.0,285.0,464.0,94.0,1.0,0.0,540.0,384.0,792.0,1452.0,770.0,6462.0
Denver Deo Prestige 127gm 265 /-,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Denver Deo Pride 127gm 280/-,900.0,2920.0,177.0,272.0,337.0,51.0,62.0,360.0,261.0,495.0,123.0,888.0,6846.0
Denver Perfume Blackcode 60ml 349/-,144.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0
Display & Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envy 1000 Deo Dark 97G 199/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envy 1000 Deo Fiery 100G 199/-,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Envy 1000 Deo Force 97G 199/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVA BODY SPRAY DOLL 150ML,300.0,480.0,240.0,288.0,360.0,0.0,234.0,0.0,0.0,0.0,1188.0,0.0,3035.0
EVA BODY SPRAY FRESH 125ML,1439.0,21.0,204.0,732.0,618.0,343.0,741.0,564.0,30.0,600.0,9.0,21.0,5322.0
EVA BODY SPRAY FRESH 150ML,300.0,480.0,240.0,89.0,0.0,148.0,0.0,0.0,0.0,0.0,696.0,0.0,1920.0
EVA BODY SPRAY SWEET 150ML,240.0,480.0,240.0,240.0,0.0,210.0,172.0,0.0,0.0,0.0,300.0,0.0,1882.0
EVA BODY SPRAY WILD 150ML,300.0,240.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,0.0,1356.0
EVA DEO SPRAY BLUSH 125ML,0.0,0.0,0.0,18.0,6.0,21.0,3.0,0.0,0.0,60.0,0.0,12.0,114.0
EVA DEO SPRAY COMBI 150ML 268/,780.0,723.0,660.0,642.0,617.0,66.0,177.0,0.0,81.0,27.0,33.0,115.0,3852.0
EVA DEO SPRAY DOLL 125ML,4186.0,118.0,183.0,2220.0,1710.0,1071.0,1038.0,1667.0,78.0,1743.0,12.0,75.0,14101.0
EVA DEO SPRAY DOLL Mini 40ML,420.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,1080.0
EVA DEO SPRAY FLIRT 125ML,3.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,6.0,35.0
EVA DEO SPRAY FRESH Mini 40ML,420.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1152.0
EVA DEO SPRAY SWEET 125ML,120.0,57.0,182.0,21.0,34.0,33.0,24.0,6.0,12.0,72.0,6.0,21.0,588.0
EVA DEO SPRAY URBANE 125ML,121.0,24.0,198.0,0.0,18.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,421.0
EVA DEO SPRAY WILD 125ML,1519.0,53.0,195.0,750.0,630.0,357.0,724.0,570.0,84.0,591.0,0.0,21.0,5487.0
EVA DEO SPRAY WILD Mini 40ML,420.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1152.0
EVA DEO TALC FRESH 100GMS,163.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,174.0
EVA DEO TALC FRESH 400GMS,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
EVA DEO TALC SANDAL 100G,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
EVA DEO TALC SWEET 100GMS,149.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,162.0
EVA DEO TALC SWEET 400GMS,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
EVA EXOTIC DEO B2G1 150ML 400/,180.0,3.0,360.0,19.0,29.0,30.0,12.0,63.0,0.0,24.0,27.0,24.0,771.0
FRIENDS ADULT DIAPER PREM XL 10S,112.0,24.0,0.0,0.0,8.0,0.0,24.0,0.0,8.0,0.0,0.0,8.0,184.0
FRIENDS ADULT DIAPERS EASY LARGE 2p,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
FRIENDS ADULT DIAPERS EASY LARGE PP 10p,11.0,48.0,24.0,102.0,41.0,132.0,65.0,72.0,143.0,60.0,72.0,426.0,1196.0
FRIENDS ADULT DIAPERS EASY MEDIUM 2p,2.0,0.0,8.0,0.0,5.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,24.0
FRIENDS ADULT DIAPERS EASY MEDIUM PP 10p,14.0,13.0,17.0,50.0,82.0,111.0,84.0,84.0,75.0,36.0,146.0,327.0,1039.0
FRIENDS ADULT DIAPERS EASY SMALL PP 10p,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
FRIENDS ADULT DIAPERS EASY XTRA LARGE PP,132.0,0.0,0.0,108.0,37.0,37.0,60.0,72.0,78.0,84.0,132.0,108.0,848.0
FRIENDS ADULT DIAPERS ECO LARGE 10s*12,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,12.0,12.0,24.0,0.0,86.0
FRIENDS ADULT DIAPERS ECO MEDIUM 10s*12,24.0,0.0,18.0,12.0,24.0,0.0,0.0,36.0,0.0,12.0,48.0,24.0,198.0
FRIENDS ADULT DIAPERS ECO XL 10s*12,36.0,24.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,24.0,48.0,0.0,168.0
