Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
22919 Ziofit Roasted & LS Pistachios 500,24.0,50.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
22926 Ziofit Indian Long Raisins,48.0,72.0,70.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22933 Ziofit Californian Inshell Walnuts,72.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22964 Ziofit Classic Sultan Date 500g,82.0,48.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22971 Ziofit Walnuts Kernels Ext 250,80.0,51.0,61.0,168.0,118.0,88.0,0.0,72.0,12.0,0.0,0.0,0
22988 Ziofit Dried Figs 200g 625/-,0.0,24.0,72.0,274.0,20.0,36.0,12.0,70.0,25.0,0.0,48.0,0
23046 Ziofit Classic Sultan Date 250,48.0,83.0,167.0,360.0,100.0,70.0,192.0,80.0,30.0,0.0,1.0,0
23053 Ziofit Walnut Kernels Extr,143.0,0.0,96.0,262.0,52.0,72.0,0.0,140.0,20.0,47.0,0.0,0
23060 Ziofit Walnut Kernels (BOGO) 250g,36.0,48.0,36.0,251.0,66.0,92.0,70.0,64.0,0.0,0.0,48.0,0
23619 Happilo Natural Almond 500g,1895.0,2500.0,0.0,771.0,2090.0,2257.0,372.0,1910.0,2.0,26.0,165.0,0
23626 Happilo Prem Whole Cashews 500g,1221.0,1160.0,173.0,1596.0,655.0,2360.0,66.0,1965.0,213.0,205.0,400.0,0
23633 Happilo Prem Seedles Raisins 500g,195.0,11.0,91.0,102.0,111.0,140.0,150.0,570.0,91.0,116.0,160.0,0
23640 Happilo R&S Califo Pistachios 500g,152.0,40.0,100.0,113.0,233.0,160.0,201.0,287.0,131.0,270.0,79.0,0
23732 HP Dry Fruit CB GTB MACAW 285G 599,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0
23749 Happilo Dry Fruit Celeb Earth,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0
26856 Happilo Dry Fruit Celebrat,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0
26870 Happilo Dry Fruit Celebrat,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0
27037 Happilo Oven R&S Cashew 80g,0.0,24.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27181 Happilo Super Mom Trial Mix 350g,5.0,20.0,55.0,25.0,40.0,30.0,44.0,26.0,0.0,0.0,25.0,0
