Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
20168 Happilo Sliced Cranberries 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,300.00,53236.61,20.00,3549.20,174.00,31729.22,2090.00,370891.08,12.00,2129.52,56.00,9937.76,150.00,26619.00,110.00,19520.60,10.00,1774.60,2922.00,519387.59
20175 HappiloDeluxe Kashmiri Walnut 200,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,10118.40,0.00,0.00,0.00,0.00,36.00,10118.40
20182 HappiloPrm Kashmiri Walnut 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,10833.12,0.00,0.00,0.00,0.00,12.00,3900.00,0.00,0.00,48.00,14733.12
20199 Happilo Intl Nuts & Berries 200g,PCS,102.00,26592.42,108.00,27863.46,0.00,0.00,108.00,26397.36,46.00,11653.94,22.00,5377.24,58.00,14176.36,34.00,8310.28,16.00,3910.72,0.00,0.00,12.00,2933.04,0.00,0.00,506.00,127214.82
20205 Happilo Intl Trial Mix 200g,PCS,71.00,17353.82,36.00,8799.12,0.00,0.00,350.00,85546.89,0.00,0.00,0.00,0.00,177.00,43132.22,149.00,36418.58,0.00,0.00,18.00,4399.56,12.00,2933.04,0.00,0.00,813.00,198583.23
20212 Happilo Prem Calfn Inshell Walnut,PCS,0.00,0.00,0.00,0.00,0.00,0.00,72.00,12085.92,0.00,0.00,0.00,0.00,21.00,3413.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,15498.98
20229 HappiloPrem Whole Cashews 200g,PCS,0.00,0.00,0.00,0.00,50.00,12562.50,350.00,84348.21,340.00,81289.28,72.00,17228.82,348.00,82633.29,12.00,2871.48,56.00,13400.24,250.00,59822.50,12.00,2871.42,0.00,0.00,1490.00,357027.74
20236 HappiloPrem Seedless Raisin 250g,PCS,0.00,0.00,0.00,0.00,150.00,17973.21,100.00,12080.36,12.00,1262.76,270.00,31821.43,12.00,1414.28,16.00,1885.76,12.00,1414.32,215.00,24465.90,3.00,353.57,24.00,2828.40,814.00,95499.99
20243 Happilo Afghani Seedless G Raisin,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,21072.00,0.00,0.00,0.00,0.00,62.00,8421.58,0.00,0.00,162.00,29493.58
20250 Happilo Snack Pack Califo R Ald 35,PCS,0.00,0.00,0.00,0.00,0.00,0.00,576.00,26156.43,0.00,0.00,60.00,2410.72,600.00,24107.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1236.00,52674.29
20267 HappiloSnack Pack Califo CBerry,PCS,0.00,0.00,0.00,0.00,0.00,0.00,576.00,19285.44,450.00,15066.96,24.00,803.58,360.00,12053.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1410.00,47209.55
20298 HappiloSnack Pack R Cashews 35g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,720.00,33750.60,600.00,28125.00,60.00,2812.50,201.00,9421.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1581.00,74109.98
20373 Happilo Intl Exotic Brazil Nuts150,PCS,0.00,0.00,0.00,0.00,1.00,364.96,10.00,3693.39,3.00,1138.67,28.00,10218.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,15415.77
20434 HappiloPrm Afghani Blc Raisin 250,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,6428.40,328.00,57195.87,33.00,5774.99,108.00,18433.08,56.00,9800.00,115.00,19476.33,116.00,20300.00,19.00,3325.00,815.00,140733.67
20472 Happilo Intl Salted Party Mix 200g,PCS,0.00,0.00,18.00,4399.56,0.00,0.00,300.00,73325.93,40.00,9776.80,77.00,18820.32,98.00,23047.66,84.00,20531.28,66.00,16131.72,49.00,11976.58,0.00,0.00,110.00,26886.20,842.00,204896.05
20564 Happilo INSHELL WALNUT 500G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,18345.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,19714.08,80.00,32856.80,175.00,70915.94
20571 Happilo Calfn inShell Walnut 1000g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,62571.20,80.00,62571.20
20670 Happilo Prem Afghani Anjeer 200g,PCS,0.00,0.00,0.00,0.00,150.00,39676.23,400.00,105803.68,83.00,20442.35,276.00,73956.76,232.00,61366.09,32.00,8464.32,126.00,33328.26,99.00,26776.08,6.00,1988.84,16.00,4633.92,1420.00,376436.53
20687 Happilo Prem Ir R&S Pistachios 200,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,10580.40,10.00,2645.08,65.00,17193.15,52.00,13754.52,16.00,4232.16,-6.00,-1587.06,11.00,2909.59,130.00,34386.30,318.00,84114.14
20694 HappiloPremium KS Cashew 200g,PCS,11.00,2867.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,2867.81
20991 Happilo Prem S&R Pumpkin Seeds 200,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,5524.50,205.00,38634.95,59.00,10864.89,50.00,9207.50,25.00,4603.75,-9.00,-1657.35,138.00,25412.70,62.00,11417.30,560.00,104008.24
21004 Happilo Prem Pumpkin Seeds 200g,PCS,0.00,0.00,0.00,0.00,36.00,7071.43,300.00,58928.57,0.00,0.00,0.00,0.00,12.00,2357.16,0.00,0.00,0.00,0.00,15.00,2946.45,12.00,2357.14,0.00,0.00,375.00,73660.75
21035 Happilo Prem Queen Kalmi Dates 200,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,6562.40,206.00,33993.74,80.00,13124.80,-1.00,-164.06,0.00,0.00,-9.00,-1476.54,261.00,42819.70,40.00,6562.40,617.00,101422.44
21042 Happilo KING MEDJOUL DATES 200G,PCS,0.00,0.00,0.00,0.00,36.00,9522.26,0.00,0.00,40.00,10580.40,10.00,2645.08,50.00,13225.50,30.00,8252.70,20.00,5290.20,-31.00,-8199.81,-5.00,-1322.55,10.00,2645.10,160.00,42638.88
21059 Happilo Prem Omani Dates 250g,PCS,0.00,0.00,0.00,0.00,50.00,6562.50,50.00,5859.50,88.00,10044.88,268.00,31656.42,62.00,7265.74,164.00,19219.16,36.00,4218.84,149.00,17461.31,20.00,2343.80,100.00,11719.00,987.00,116351.15
21073 Happilo Prem Seeds & Berries 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,10178.40,60.00,15267.85,34.00,8651.66,120.00,28651.20,20.00,5089.20,-8.00,-2035.68,6.00,1526.78,0.00,0.00,272.00,67329.41
21080 Happilo Prem Dried B'berry C'berry,PCS,0.00,0.00,0.00,0.00,0.00,0.00,150.00,38169.64,90.00,22901.61,216.00,55880.35,260.00,66160.67,12.00,3053.40,16.00,4071.36,0.00,0.00,4.00,1017.90,106.00,26971.76,854.00,218226.69
22469 Happilo Prm Authtic Flax Seeds 200,PCS,0.00,0.00,0.00,0.00,60.00,4242.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1697.04,6.00,424.26,0.00,0.00,0.00,0.00,0.00,0.00,90.00,6364.16
22476 Happilo Prm White CHIA Seeds 250G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,4714.32,6.00,1178.58,20.00,3637.33,0.00,0.00,0.00,0.00,50.00,9530.23
22483 Happilo Prem Raw Melon Seeds 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,4199.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,4199.70
22827 Ziofit Californian Almonds,PCS,0.00,0.00,0.00,0.00,24.00,7617.84,24.00,6348.24,0.00,0.00,24.00,7194.64,48.00,14389.32,24.00,7194.48,12.00,3597.36,24.00,7194.72,24.00,7194.64,48.00,14897.28,252.00,75628.52
22834 Ziofit Indian Whole Cashew,PCS,0.00,0.00,0.00,0.00,24.00,9154.32,48.00,18308.64,0.00,0.00,0.00,0.00,24.00,8645.74,24.00,8645.52,12.00,4322.88,0.00,0.00,47.00,16936.29,95.00,32684.17,274.00,98697.56
22841 Ziofit Indian Long Raisins 200,PCS,0.00,0.00,0.00,0.00,0.00,0.00,48.00,6222.96,0.00,0.00,24.00,3205.72,72.00,9617.12,48.00,6411.36,12.00,1602.84,0.00,0.00,6.00,801.42,112.00,14173.84,322.00,42035.26
22858 Ziofit R&S Pistachios,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,20217.96,118.00,51188.60,166.00,71406.56
22865 Ziofit Californian Inshell Walnut,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,6119.76,0.00,0.00,-23.00,-6072.00,-19.00,-5016.00,-6.00,-1584.00,-24.00,-6552.24
22889 Ziofit Indian Cashewnuts 200,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-364.57,0.00,0.00,0.00,0.00,-1.00,-364.57
22896 Ziofit Californian Almonds,PCS,0.00,0.00,0.00,0.00,12.00,9633.24,24.00,19266.48,12.00,7645.44,24.00,18196.08,12.00,9098.04,24.00,18195.36,6.00,4549.02,0.00,0.00,-1.00,-872.74,102.00,79741.62,215.00,165452.54
22902 Ziofit Indian Whole Cashew,PCS,0.00,0.00,0.00,0.00,12.00,11304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,10675.68,0.00,0.00,0.00,0.00,0.00,0.00,59.00,53966.21,83.00,75945.89
22926 Ziofit Indian Long Raisins,PCS,0.00,0.00,0.00,0.00,9.00,3078.00,24.00,8208.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,7751.76,0.00,0.00,0.00,0.00,0.00,0.00,108.00,35978.40,165.00,55016.16
22933 Ziofit Californian Inshell Walnuts,PCS,0.00,0.00,0.00,0.00,0.00,0.00,24.00,14124.00,6.00,3057.12,12.00,7276.00,12.00,7276.00,12.00,7275.72,0.00,0.00,0.00,0.00,-1.00,-597.84,0.00,0.00,65.00,38411.00
22940 Ziofit Indian Cashewnuts&Almon 500,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,7707.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-837.26,8.00,6870.61
22964 Ziofit Classic Sultan Date 500g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,5737.50,0.00,0.00,48.00,7649.76,12.00,1912.56,0.00,0.00,12.00,2413.44,120.00,24815.04,228.00,42528.30
22971 Ziofit Walnuts Kernels Ext 250,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-490.29,0.00,0.00,-1.00,-490.29
23046 Ziofit Classic Sultan Date 250,PCS,0.00,0.00,0.00,0.00,0.00,0.00,24.00,2121.36,0.00,0.00,24.00,2244.00,48.00,4247.52,0.00,0.00,0.00,0.00,0.00,0.00,24.00,2003.58,144.00,12206.12,264.00,22822.58
23053 Ziofit Walnut Kernels Extr,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,38217.60,96.00,38217.60
23060 Ziofit Walnut Kernels Extr 250G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,-930.28,117.00,53702.62,115.00,52772.34
23107 Ziofit Classic Sultan Dates 500g,PCS,0.00,0.00,0.00,0.00,24.00,3943.44,0.00,0.00,12.00,2028.12,0.00,0.00,24.00,4826.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,10798.34
23206 Happilo Prm Dried Strawberry 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2370.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2370.52
23213 Happilo Intl Fruid Medley 200g,PCS,0.00,0.00,0.00,0.00,36.00,7111.61,0.00,0.00,0.00,0.00,50.00,9877.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,16988.84
23619 Happilo Natural Almond 500g,PCS,0.00,0.00,2.00,1402.72,25.00,11300.25,175.00,79101.59,52.00,27053.68,44.00,21140.64,4047.00,1829083.59,22.00,9944.22,56.00,23638.56,80.00,33482.40,7487.00,2415659.65,0.00,0.00,11990.00,4451807.30
23626 Happilo Prem Whole Cashews 500g,PCS,0.00,0.00,2.00,1402.72,0.00,0.00,150.00,83035.71,46.00,24357.08,44.00,24910.72,146.00,80821.33,32.00,17719.16,26.00,14392.82,0.00,0.00,1858.00,1026392.81,45.00,15510.15,2349.00,1288542.50
23633 Happilo Prem Seedles Raisins 500g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,300.00,69642.86,56.00,12535.72,50.00,11607.14,125.00,29017.86,12.00,2785.80,6.00,1392.84,0.00,0.00,24.00,5571.42,45.00,6122.25,618.00,138675.89
23640 Happilo Premium Califo Almond,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,760.00,470759.20,219.00,137065.18,80.00,49553.60,28.00,17343.76,5.00,3097.10,0.00,0.00,12.00,7433.04,136.00,84241.12,1240.00,769493.00
23725 Happilo Dry Fruit Celeb Mercury,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.00,33636.96,0.00,0.00,0.00,0.00,0.00,0.00,-89.00,-15910.34,0.00,0.00,79.00,17726.62
23749 Happilo Dry Fruit Celeb Earth,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,864.00,444283.96,0.00,0.00,0.00,0.00,0.00,0.00,-135.00,-72229.82,0.00,0.00,729.00,372054.14
23756 Happilo Dry Fruit Celeb Marsh,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.00,97525.44,0.00,0.00,0.00,0.00,0.00,0.00,-62.00,-37324.55,0.00,0.00,100.00,60200.89
23763 Happilo Dry Fruit Celeb Jupiter450,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.00,159525.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.00,159525.63
23770 Happilo Dry Fruit Celeb Saturn1049,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,30908.04,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-7024.64,0.00,0.00,34.00,23883.40
23817 Ziofit Classic Sultan Seeded Dates,PCS,0.00,0.00,0.00,0.00,0.00,0.00,24.00,2603.52,12.00,1033.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,3636.72
24265 Happilo Combo Cashew200+Almond200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-3676.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-3676.30
26825 Happilo Dry Fruit Celeb DAFFODIL,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,574.00,203585.83,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,-8862.51,0.00,0.00,547.00,194723.32
26832 Happilo Dry Fruit Celebrat,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,-570.00,0.00,0.00,0.00,0.00,-2.00,-570.00
26849 Happilo Dry Fruit Celeb Irish,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.00,163565.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.00,163565.09
26863 Happilo Dry Fruit Celeb Marrigold,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,7493.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,7493.80
26894 Happilo Dry Fruit Celeb Sunflower,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,28912.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,28912.50
27181 Happilo Super Mom Trial Mix 350g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,13366.00,10.00,3742.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,8353.75,75.00,25061.25,150.00,50523.50
27211 Happilo Prem Seeds & Nuts Mix 250g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,20022.00,100.00,20022.00
27563 Happilo Prem Intl Fitness Mix 160g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,9207.50,0.00,0.00,50.00,9207.50
27570 Happilo Prem Intl Health Mix 160g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,8008.80,60.00,12734.20,60.00,11479.40,49.00,9810.78,58.00,11612.76,0.00,0.00,0.00,0.00,126.00,25227.72,393.00,78873.66
27587 Happilo Prm Intrn Champion Mix 160,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,20.00,4004.40,20.00,4003.40
28034 Happilo Dry Fruit Celebrat,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,10546.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,10546.60
28041 Happilo Dry Fruit Celebrat,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.00,65437.50,0.00,0.00,0.00,0.00,0.00,0.00,-79.00,-18463.43,0.00,0.00,201.00,46974.07
28072 Happilo Dry Fruit Celebration Pack,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,510.00,215851.21,0.00,0.00,0.00,0.00,0.00,0.00,-164.00,-71274.11,0.00,0.00,346.00,144577.10
28102 Happilo Dry Fruit Celeb Jasmine,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,25419.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,25419.60
28126 Happilo Dry Fruit Celeb LILY,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.00,233447.76,0.00,0.00,0.00,0.00,0.00,0.00,-130.00,-89307.68,0.00,0.00,174.00,144140.08
28157 Happilo Dry Fruit Celeb Cherry,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,65594.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,65594.00
8906081120281 HappiloSnack Pack Supermi,PCS,0.00,0.00,0.00,0.00,0.00,0.00,431.00,20203.78,300.00,14062.50,180.00,8437.50,400.00,18750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1311.00,61453.78
8906081120304 HappiloSnack Pack Interna,PCS,0.00,0.00,196.00,12250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,12250.00
8906081121240 Happilo Premium Oven Roast,PCS,0.00,0.00,0.00,0.00,0.00,0.00,200.00,23437.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,23437.50
8906081122544 Happilo Premium Internatio,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144.00,42428.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144.00,42428.57
8906081122988 Ziofit Dried Figs 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,-903.58,-9.00,-4014.27,120.00,53844.96,109.00,48927.11
Additional Trade Margin,N.A.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79259.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79259.95
Baba Elaichi Silver Coated 10 g,PCS,30.00,3064.20,25.00,2553.50,325.00,31629.50,0.00,0.00,80.00,7756.00,70.00,6786.50,10.00,969.50,260.00,25201.00,10.00,969.50,140.00,14620.00,58.00,5623.10,110.00,10663.90,1118.00,109836.70
Baba Elaichi Silver Coated 6 g,PCS,40.00,2357.20,70.00,4125.10,10.00,589.30,50.00,2918.10,40.00,2420.50,30.00,1739.50,50.00,3021.30,50.00,2919.70,50.00,3042.90,90.00,5761.10,69.00,3859.17,100.00,5716.20,649.00,38470.07
BABA FRU ASSORTED JELLY JAR,PCS,50.00,2009.00,150.00,5864.92,0.00,0.00,0.00,0.00,100.00,3752.00,50.00,2194.00,100.00,3885.00,50.00,1876.00,-63.00,-2835.00,100.00,3885.00,0.00,0.00,0.00,0.00,537.00,20630.92
BABA FRU ASSORTED JELLY POUCH (3.6x100),PCS,0.00,0.00,30.00,2008.92,30.00,2250.00,30.00,2250.00,30.00,2250.00,60.00,4017.60,90.00,6750.00,60.00,4258.80,-28.00,-2100.00,-8.00,-535.68,0.00,0.00,0.00,0.00,294.00,21149.64
BABA FRU ASSORTED JELLY POUCH (3.6X30),PCS,0.00,0.00,200.00,3988.92,200.00,3887.00,0.00,0.00,200.00,3752.00,100.00,2008.00,0.00,0.00,200.00,3888.00,-63.00,-1417.50,150.00,3375.00,0.00,0.00,100.00,2009.00,1087.00,21490.42
BABA LIQUID LIFE NAT. MINERAL WATER 15L,PCS,0.00,0.00,0.00,0.00,0.00,0.00,25.00,2542.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,-360.00,0.00,0.00,20.00,2033.80,20.00,2033.80,62.00,6249.98
BABA LIQUID LIFE NAT. MINERAL WATER 1L,PCS,1944.00,24830.04,1464.00,19094.34,804.00,10474.08,1032.00,13467.86,1452.00,18518.40,1140.00,14575.68,864.00,11014.56,1056.00,13460.88,696.00,8903.28,360.00,4817.64,672.00,8687.28,1200.00,15374.52,12684.00,163218.56
