Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
20007 Happilo Turkish Apricots 200g,PCS,0.00,0.00,0.00,0.00,50.00,9542.41,0.00,0.00,30.00,5725.50,229.00,53347.19,68.00,15950.96,83.00,17661.93,66.00,13453.22,53.00,11186.45,110.00,26886.20,80.00,19553.60,769.00,173307.46
20014 Happilo Dried Bluberries 150gm,PCS,0.00,0.00,0.00,0.00,0.00,0.00,150.00,48716.52,0.00,0.00,0.00,0.00,200.00,64955.36,62.00,20135.86,50.00,16238.50,50.00,16238.50,12.00,3897.32,0.00,0.00,524.00,170182.06
20021 Happilo Califo Almond R&S 200g,PCS,22.00,5497.78,18.00,4037.94,0.00,0.00,239.00,55021.22,92.00,22389.42,234.00,52761.94,272.00,61017.85,22.00,5819.22,56.00,14812.56,45.00,9893.95,11.00,2179.21,0.00,0.00,1011.00,233431.09
20038 Happilo Clf Whole Cranberries 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,7111.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,7111.61
20045 Happilo Drd& PIT Calfo Pruns 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,4921.80,166.00,32925.86,30.00,5826.00,12.00,2370.48,60.00,10178.40,71.00,12351.34,100.00,19754.00,0.00,0.00,469.00,88327.88
20052 Happilo Califo R&S Pistachios 200g,PCS,0.00,0.00,0.00,0.00,30.00,7935.30,200.00,52901.84,0.00,0.00,0.00,0.00,200.00,52901.79,62.00,16399.62,56.00,14812.56,50.00,13225.50,0.00,0.00,0.00,0.00,598.00,158176.61
20069 Happilo  Intl Supermix Berries 200,PCS,49.00,11976.58,0.00,0.00,86.00,22486.62,440.00,107544.69,226.00,54675.24,292.00,72837.06,190.00,46439.74,44.00,10754.48,6.00,1466.52,19.00,4643.98,112.00,27375.04,70.00,17109.40,1534.00,377309.35
20076 Happilo Califo Walnut Kernel 200g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,150.00,53035.71,3.00,1113.75,0.00,0.00,0.00,0.00,12.00,4242.96,0.00,0.00,36.00,11700.00,62.00,20492.86,1.00,325.00,264.00,90910.28
20083 Happilo Cashews R&S 200g,PCS,17.00,4496.67,0.00,0.00,36.00,9522.32,0.00,0.00,42.00,11172.90,207.00,54753.36,50.00,13225.50,22.00,5819.22,66.00,17457.66,0.00,0.00,12.00,3174.10,130.00,34386.30,582.00,154008.03
20090 Happilo Healthy Nutmix 200g,PCS,45.00,10998.87,0.00,0.00,240.00,58659.90,0.00,0.00,40.00,9776.80,27.00,6599.33,120.00,28424.90,44.00,10754.38,6.00,1466.52,-3.00,-733.26,162.00,39596.04,62.00,15153.92,743.00,180697.40
20151 Happilo Natural Califo Almds 200g,PCS,0.00,0.00,0.00,0.00,129.00,23755.49,350.00,64453.04,243.00,44769.34,12.00,2209.82,426.00,76566.09,12.00,2209.80,6.00,1104.90,0.00,0.00,24.00,4419.64,0.00,0.00,1202.00,219488.12
