Item Details,Unit,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
HR  BHELPURI 40G*276 10/-,PCS,0,0,0,0,0,0,0,276,0,0,0,0,276
HR  BHUJIA  36G*360 10/-,PCS,0,0,0,0,0,0,0,360,0,0,0,0,360
HR  Bhujia  400G*30 130/-,PCS,0,0,0,0,0,0,0,0,55,0,0,0,55
HR  Bhujia 1000G*12 300/-,PCS,0,0,0,0,0,0,0,0,56,0,0,0,56
HR  BOMBAY MIX  400G*30 120/-,PCS,0,0,0,0,0,0,0,0,30,0,0,0,30
HR  Cornflakes 200G*40 80/-,PCS,0,0,0,0,0,0,0,40,0,0,0,0,40
HR  CORNFLAX 36G*276 10/-,PCS,0,0,0,0,0,0,0,0,3,0,0,0,3
HR  DD Soan Papdi 1Kg*10 430/-,PCS,0,0,0,0,0,0,0,1040,-36,0,-36,0,968
HR  Desi Ghee Soan Papdi 500G*20 360/-,PCS,0,0,0,0,0,0,0,78,5,0,0,0,83
HR  DOUBLE MAZZA 38G*360 10/-,PCS,0,0,0,0,0,0,0,0,3,0,0,0,3
HR  ELACHI SOAN PAPDI 500G*20 155/-,PCS,0,0,0,0,0,0,0,0,200,0,0,0,200
HR  GULAB JAMUN 1Kg*12 300/-,PCS,0,0,0,0,0,0,0,36,3,0,0,0,39
HR  HARA MATTER 38G*360 10/-,PCS,0,0,0,0,0,0,0,360,0,0,0,0,360
HR  KAJU MIXTURE 24G*300 10/-,PCS,0,0,0,0,0,0,0,0,3,0,0,0,3
HR  Kashmiri Mix 400G*40 180/-,PCS,0,0,0,0,0,0,0,0,40,0,0,0,40
HR  Khatta Meetha 200G*50 65/-,PCS,0,0,0,0,0,0,0,50,0,0,0,0,50
HR  Kismish Phalhari Mixure 150G*50 65/-,PCS,0,0,0,0,0,0,0,50,38,0,0,0,88
HR  Massala Aloo Chips 200G*20 78/-,PCS,0,0,0,0,0,0,0,60,54,0,0,0,114
HR  Moong Dal 36G*300 10/-,PCS,0,0,0,0,0,0,0,300,60,0,0,0,360
HR  Moong Dal 400G*40 135/-,PCS,0,0,0,0,0,0,0,0,38,0,0,0,38
HR  Navrattan  200G*50 65/-,PCS,0,0,0,0,0,0,0,0,4,0,0,0,4
HR  Navrattan  400G*30 120/-,PCS,0,0,0,0,0,0,0,60,3,0,0,0,63
HR  Navrattan 36G*360 10/-,PCS,0,0,0,0,0,0,0,360,0,0,0,0,360
HR  Nut Cracker 200G*20 68/-,PCS,0,0,0,0,0,0,0,50,0,0,0,0,50
HR  NUT CRACKER 38G*360 10/-,PCS,0,0,0,0,0,0,0,360,0,0,0,0,360
HR  OCASSION KHUSHIYAN 800G*10 435/-,PCS,0,0,0,0,0,0,0,16,44,0,0,0,60
HR  POOJA BHOGH 2.4Kg*6 750/-,PCS,0,0,0,0,0,0,0,8,32,0,0,0,40
HR  Prem Soan Papdi 500G*20 225/-,PCS,0,0,0,0,0,0,0,280,-46,0,-46,0,188
HR  RASSGULLA 1Kg*12 300/-,PCS,0,0,0,0,0,0,0,36,0,0,0,0,36
HR  Ratnami Sev 200G*50 68/-,PCS,0,0,0,0,0,0,0,50,42,0,0,0,92
HR  Rose Soan Papdi 500G*20 240/-,PCS,0,0,0,0,0,0,0,0,40,0,0,0,40
HR  S FREE SOAN PAPDI 500G*20 410/-,PCS,0,0,0,0,0,0,0,40,0,0,0,0,40
HR  SWEETS & NAMKEEN 900G*14 385/-,PCS,0,0,0,0,0,0,0,28,2,0,-23,0,7
HR  Tok Jhal Mishti 400G*25 120/-,PCS,0,0,0,0,0,0,0,0,25,0,0,0,25
HR Prem Patisa 500G*20 240/-,PCS,0,0,0,0,0,0,0,40,3,0,0,0,43
KERALA SANDAL SOAP 125G*3 285/,PCS,40,80,360,240,400,240,400,200,240,200,200,0,2600
KERALA SANDAL SOAP TRIO 150G*3 340/-,PCS,720,504,1821,1416,1296,1536,1603,1344,600,1335,216,0,12391
KERALA SOAP 3IN1 FAMILY PACK 450G,PCS,0,0,119,48,24,24,24,0,0,0,0,0,239
KLF Coconad Cocunut Milk 400ml,PCS,121,95,134,121,84,213,96,185,224,48,144,0,1465
KLF Coconad Milk 200ml,PCS,48,24,72,0,24,48,0,48,72,48,0,0,384
KLF Coconad Milk Powder 100g,PCS,528,240,336,384,479,288,336,288,192,216,120,0,3407
KLF Coconad Milk Powder 1Kg,PCS,12,12,24,0,12,24,11,24,24,36,0,0,179
KLF Coconad Oil 500ml Pet,PCS,318,332,350,306,304,466,258,337,152,33,58,0,2914
KLF Coconad Oil 500ml Pouch,PCS,100,80,40,60,120,40,80,120,0,40,40,0,720
KLF Coconut Oil 1 Ltr Pet,PCS,73,127,48,31,203,46,20,160,108,70,20,0,906
KLF Coconut Oil 1 Ltr Pouch,PCS,280,302,384,291,391,345,242,325,212,100,40,0,2912
KLF Inst Coconut Chutney 25g,PCS,240,96,288,336,96,336,192,240,96,336,144,0,2400
KLF Inst Coconut Corriander Chutney 25g,PCS,95,48,192,48,240,192,192,144,96,240,0,0,1487
KLF Inst Coconut Red Chilly Chutney 25g,PCS,96,96,48,96,95,144,0,48,48,48,48,0,767
KLF Nirmal Coconut  Oil 1 Ltr Can,PCS,12,20,100,0,40,40,40,40,58,38,20,0,408
KLF Nirmal Coconut  Oil 500ml Blue Bt,PCS,5,12,0,0,0,0,0,0,0,0,0,0,17
KLF Nirmal Virgin 250ml Bt,PCS,54,80,96,32,112,85,32,137,40,80,48,0,796
KLF Nirmal Virgin 500ml GB-NN,PCS,0,0,12,0,5,6,12,0,5,0,3,0,43
KLF Nirmal Virgin 500ml GBWM,PCS,6,0,6,7,0,0,0,0,6,3,0,0,28
KLF Nirmal Virgin Coconut Oil 250ml GB,PCS,-1,12,8,36,6,16,32,16,32,16,0,0,173
KLF Nirmal Virgin Coconut Oil 250ml NN,PCS,16,0,0,0,0,0,0,0,0,0,0,0,16
KLF Nirmal Virgin Coconut Oil 500ml Bt,PCS,0,54,30,35,25,61,43,48,74,50,16,0,436
KLF Nirmal Virgin Oil 1 Ltr Can,PCS,24,36,12,24,36,36,36,24,48,24,0,0,300
KLF Tilnad Oil 1000ml Pouch,PCS,0,59,20,20,20,60,60,60,80,0,20,0,399
KLF Tilnad Oil 1Ltr Bottle,PCS,60,80,80,100,100,80,80,120,80,0,40,0,820
KLF Tilnad Oil 200ml Pet,PCS,81,96,72,104,96,120,72,100,64,39,48,0,892
KLF Tilnad Oil 500ml Bottle,PCS,238,151,153,169,122,304,138,282,358,158,197,0,2270
KLF Tilnad Oil 500ml Pouch,PCS,80,40,0,0,60,40,40,40,80,0,40,0,420
KS 12s ORGASMAX MRP 230/-,PCS,0,0,0,2,48,0,0,0,0,0,0,0,50
KS 12s RIBBED MRP 120/-,PCS,0,0,0,-12,0,0,0,0,0,0,0,0,-12
KS 12s ULTRATHIN MRP 250/-,PCS,0,0,0,-7,19,0,0,0,0,0,0,0,12
KS 20s Dotted Desire MRP 200/-,PCS,0,0,0,-5,0,0,0,0,0,0,0,0,-5
KS 20s SUPERTHIN PLEA  MRP 250/-,PCS,0,0,0,-7,20,0,0,0,0,0,0,0,13
KS 2SPARK+1 URGE 150ML  470/-,PCS,0,24,81,2,70,0,0,0,0,0,0,0,177
KS A0s SKYN FEEL  MRP 270/-,PCS,0,0,0,0,20,0,0,0,0,0,0,0,20
KS DARE AEROSOL 150ML  230/-,PCS,0,48,6,-1,6,0,0,0,0,0,0,0,59
KS DEO DARE POWER SERIES 230/-,PCS,0,0,0,48,0,0,0,0,0,0,0,0,48
KS DEO URGE POWER SERIES 135ml 220/-,PCS,256,0,-1,-1,-23,0,0,0,0,0,0,0,231
KS EXCITE REGULAR LQD 150ML  275/-,PCS,3,17,12,0,18,0,0,0,0,0,0,0,50
KS PASSION REGULAR LQD 150ML  275/-,PCS,0,18,12,0,18,0,0,0,0,0,0,0,48
KS POWER SPARK SERIES 135 ML 220/-,PCS,575,65,95,102,62,0,0,0,0,0,0,0,899
KS RUSH AEROSOL 150ML  230/-,PCS,0,48,0,48,0,0,0,0,0,0,0,0,96
KS SPARK AEROSOL 150ML  230/-,PCS,12,1053,27,54,54,0,0,0,0,0,0,0,1200
KS SPARK MEGA 220ML  360/-,PCS,108,-1,0,89,44,0,0,0,0,0,0,0,240
KS URGE AEROSOL 150ML  230/-,PCS,0,1641,0,0,12,0,0,0,0,0,0,0,1653
KS URGE AEROSOL B1G1 150ML  230/-,PCS,0,636,213,191,247,0,0,0,0,0,0,0,1287
LC Combi Skin 120 ml,PCS,60,74,0,108,50,12,58,10,0,50,0,0,422
LC Combi Skin 60 ml,PCS,207,75,180,135,210,30,138,0,0,30,0,0,1005
LC Little's Baby Wipes 80's,PCS,48,76,0,0,0,0,0,0,0,0,0,0,124
LC Little's Baby Wipes 80's Lid Pack,PCS,32,0,50,36,96,60,48,120,72,0,0,0,514
LC Littles Comfy pants L62 Jumbo,PCS,0,0,0,396,180,294,66,396,120,0,0,0,1452
LC Littles Comfy pants M72 Jumbo,PCS,0,0,0,528,336,240,6,144,150,0,0,0,1404
LC Littles Comfy pants S78 Jumbo,PCS,0,0,0,0,0,240,0,0,0,0,0,0,240
LC Littles Comfy pants XL54 Jumbo,PCS,0,0,0,396,336,18,30,252,96,0,0,0,1128
LC Little's Diaper-L 30s,PCS,0,0,0,0,0,400,0,0,0,0,0,0,400
LC Little's Diaper-M 32s,PCS,0,0,0,0,0,400,0,0,0,0,0,0,400
LC Little's Diaper-XL 24s,PCS,0,0,0,0,0,400,0,0,0,0,0,0,400
LC Oily Skin 120 ml,PCS,395,368,282,920,960,346,264,90,20,72,0,0,3717
LC Oily Skin 60 ml,PCS,336,180,327,1422,537,578,369,165,30,45,15,0,4004
LC Sunscreen SPF 50 -50g,PCS,252,144,108,192,36,108,36,0,0,0,0,0,876
Lion Arabian Seeded Dates 250gm (1+1),PCS,396,102,1419,2360,3035,2527,1866,2760,1343,2824,1223,0,19855
Lion Arabian Seeded Dates 500gm,PCS,0,24,0,-1,0,0,0,0,0,0,0,0,23
Lion Arabian Seeded Dates 500gm (1+1),PCS,564,0,374,160,778,836,679,540,811,584,-107,0,5219
Lion Buman Dates 500gm,PCS,0,0,96,0,48,192,0,48,143,231,44,0,802
Lion Chocolate With Badam 8Pc,PCS,0,0,0,0,0,0,0,0,140,82,0,0,222
Lion Dates Syrup 1000gm,PCS,60,20,16,0,0,73,110,140,77,100,20,0,616
Lion Dates Syrup 250gm,PCS,41,0,5,0,0,132,24,100,68,56,0,0,426
Lion Dates Syrup 500gm,PCS,68,51,83,17,0,151,74,124,18,43,24,0,653
Lion Delicasy Dates 500gm,PCS,0,0,0,0,0,0,0,23,115,24,-1,0,161
Lion Deseeded Dates 200gm Refill,PCS,1058,476,1176,850,729,1168,1644,240,703,372,484,0,8900
Lion Deseeded Dates 500gm Cup,PCS,105,125,446,475,502,810,850,850,1025,870,447,0,6505
Lion Deseeded Dates 500gm Refill,PCS,751,774,829,886,967,898,896,1128,1499,1286,453,0,10367
Lion Desert King Dates 250gm Cup,PCS,542,329,179,586,612,779,732,750,489,459,255,0,5712
Lion Desert King Dates 250gm-P,PCS,0,0,72,219,216,288,144,0,216,360,72,0,1587
Lion Desert King Dates 500gm Cup,PCS,42,45,100,10,57,350,139,225,174,113,-5,0,1250
Lion Desert King Dates 500gm Refill,PCS,123,69,149,91,85,40,445,200,325,130,135,0,1792
Lion Doligo Dates 400G,PCS,0,0,144,0,5,168,0,0,288,174,3,0,782
Lion Kimia Dates 500gm Cup 215/-,PCS,0,0,0,0,0,0,0,72,252,150,4,0,478
Lion Mix Fruit Jam 500gm Combo,PCS,0,0,0,24,0,0,72,57,0,0,24,0,177
Lion Muscat Dates 500gm Refill,PCS,227,0,80,242,120,159,360,279,342,54,60,0,1923
Lion Qyno Seeded Dates 250gm (1+1),PCS,59,88,186,107,305,547,636,480,590,357,89,0,3444
Lion Qyno Seeded Dates 500gm,PCS,0,-4,0,0,0,0,0,0,0,0,0,0,-4
Lion Qyno Seeded Dates 500gm (1+1),PCS,538,781,1159,1043,1444,1859,2368,3771,2592,3907,1195,0,20657
MNL OLEEV KITCHEN MACRONI PASTA 400G 120,PCS,0,0,0,0,0,360,600,600,888,480,240,0,3168
MNL PASTA CUCINA ITALIAN PENNE 400GM,PCS,0,0,0,960,0,480,480,480,168,0,0,0,2568
MNL PASTA CUCINA SPAGHETTI 400GM 150/-,PCS,0,0,0,0,0,0,0,0,0,0,192,0,192
MNL PASTA PREMIUM FUSILLI 400GM 120/-,PCS,0,0,0,840,0,600,760,600,960,480,720,0,4960
MNL PASTA PREMIUM PENNE 400GM 120/-,PCS,48,0,0,656,0,240,720,720,756,1200,0,0,4340
MOKSH 3in1 Assorted Pack 225G 125/-,PCS,0,0,0,0,0,0,0,0,0,192,96,0,288
MOKSH CELEBRATION BOX 150/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH PRACHIN CUP SAMBRANI 75/-,PCS,0,0,0,0,0,0,0,0,0,0,72,0,72
MOKSH ROSE PREMIUM PACKET 30G 125/-,PCS,0,0,0,0,0,0,0,0,0,0,36,0,36
MOKSH SWARNA CHAMPA 33G 30/-,PCS,0,0,0,0,0,0,0,0,0,0,30,0,30
MOKSH SWARNA CHAMPA DHOOP STICK 15/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH SWARNA CHAMPA ECO 81G 75/-,PCS,0,0,0,0,0,0,0,0,0,432,48,0,480
MOKSH SWARNA CHAMPA ZIPPER-P 110G 70/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH SWARNA CHANDAN 33G 30/-,PCS,0,0,0,0,0,0,0,0,0,0,24,0,24
MOKSH SWARNA CHANDAN ECO 81G 75/-,PCS,0,0,0,0,0,0,0,0,0,432,0,0,432
MOKSH SWARNA CHANDAN ZIPPER-P 110G 70/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH SWARNA GULAB 33G 30/-,PCS,0,0,0,0,0,0,0,0,0,0,30,0,30
MOKSH SWARNA GULAB ECO 81G 75/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH SWARNA GULAB ZIPPER-P 110G 70/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH SWARNA LAVENDER 33G 30/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH SWARNA LAVENDER ECO 81G 75/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
MOKSH SWARNA MALLIKA ZIPPER-P 110G 70/-,PCS,0,0,0,0,0,0,0,0,0,288,48,0,336
MOKSH SWARNA MOGRA ECO 81G 75/-,PCS,0,0,0,0,0,0,0,0,0,0,48,0,48
Moods Allnight 12's 120/-,PCS,10,48,0,192,160,44,200,0,140,0,80,0,874
MOODS ALLNIGHT 20's 180/-,PCS,10,121,0,112,60,0,180,30,37,10,90,0,650
Moods Allnight 3's  30/,PCS,0,0,0,120,360,0,180,300,360,420,480,0,2220
MOODS CHOCOLATE 12's 120/-,PCS,4,14,0,180,240,32,48,0,20,0,0,0,538
Moods Chocolate 3's  30/,PCS,0,0,0,240,1320,0,60,60,1680,0,0,0,3360
MOODS DEO IGNYTE 200ML 220/-,PCS,0,120,0,48,0,0,0,0,0,0,0,0,168
MOODS DEO MISCHIF 200ML 220/-,PCS,0,125,0,48,0,4,18,0,0,0,0,0,195
MOODS DEO SEDUXN 200ML 220/-,PCS,0,120,0,48,0,0,0,0,0,0,0,0,168
MOODS DEO WYLD 200ML 220/-,PCS,0,120,0,48,0,0,0,0,0,0,0,0,168
MOODS DOTTED 12's 120/-,PCS,12,58,12,106,140,34,72,38,26,38,120,0,656
MOODS DOTTED 20's,PCS,0,87,0,112,80,0,120,20,0,10,20,0,449
Moods Dotted 3's  30/,PCS,0,0,0,60,420,0,360,360,720,480,1020,0,3420
Moods Eyecandy Allnight 10's 80/-,PCS,661,0,0,0,0,0,0,0,0,0,0,0,661
MOODS EYECANDY DOTTED 10's 80/,PCS,0,204,0,0,0,0,0,0,0,0,0,0,204
MOODS FEMALE CONDOM  VELVET20's 100/-,PCS,0,48,0,192,72,20,120,0,40,0,0,0,492
MOODS RIBBED 12's 120/-,PCS,24,157,0,132,140,0,60,0,20,0,0,0,533
Moods Silver 1500 Dots 12's Scented 150/,PCS,20,2,0,80,60,50,120,12,0,20,20,0,384
Moods Silver Electrify 12's 150/,PCS,3,154,8,112,80,38,0,0,80,0,60,0,535
Moods Silver Joyride 12's Scented 150/,PCS,0,7,0,92,100,0,0,0,20,0,60,0,279
Moods Silver Joyride 3's Scented 50/,PCS,12,0,0,0,0,0,0,0,0,0,0,0,12
MOODS STRAWBERRY 12's 120/-,PCS,60,56,6,172,140,20,160,6,40,26,160,0,846
MOODS STRAWBERRY 3's 30/-,PCS,0,0,0,120,540,0,480,60,720,0,180,0,2100
MOODS ULTRATHIN 12's 120/-,PCS,12,128,12,137,266,40,132,12,86,22,154,0,1001
MOODS ULTRATHIN 20's 180/-,PCS,0,318,0,104,50,0,88,20,30,0,50,0,660
MOODS ULTRATHIN 3's 30/-,PCS,0,0,0,240,420,0,360,540,180,0,600,0,2340
Moods Variety Pack 130/,PCS,20,48,0,150,208,38,120,0,100,0,100,0,784
Morton  RED CHILLI SAUCE 200G 45*36,PCS,0,-29,0,0,0,0,0,0,0,0,0,0,-29
Morton TOMATO KETCHUP 950G Pch 130*12,PCS,0,-9,0,0,0,0,0,0,0,0,0,0,-9
OLEEV ACTIVE - 1 LTR Pouch,PCS,66,0,0,28,0,0,280,0,-11,-8,0,0,355
OLEEV ACTIVE 5 LTR JAR,PCS,0,0,0,28,0,0,80,0,0,-1,0,0,107
Oleev Ex Virgin 1 Ltr 1499/-,PCS,0,0,0,0,-3,0,0,0,0,0,0,0,-3
Oleev Pomace 5 Ltr Tin,PCS,8,0,0,0,60,0,0,0,0,-4,0,0,64
PA 4X Voyage CORSICA COOL 120ml  349/-,PCS,0,0,-1,30,6,0,0,0,0,0,0,0,35
PA 4X Voyage SAVANNA FRESH 120ml  349/-,PCS,0,0,0,30,6,0,0,0,0,0,0,0,36
PA Apple Cider Shampoo RS 180ml,PCS,1200,1,8,0,0,0,0,0,0,0,0,0,1209
PA Asl Cool Blue Splash 50ml 150/-,PCS,0,0,3,15,6,1,0,0,0,0,0,0,25
PA Asl Good Morning Splash 50ml 150/-,PCS,19,32,15,36,29,0,0,0,0,0,0,0,131
PA BD Voyage Fuji Spice 135ml 210/-,PCS,0,0,-1,0,0,0,0,0,0,0,0,0,-1
PA Beer Shampoo Anti Dundruff 180ml,PCS,18,93,0,0,0,0,0,0,0,0,0,0,111
PA Beer Shampoo Anti Dundruff 350ml,PCS,0,2,0,47,38,0,0,0,0,0,0,0,87
PA Beer Shampoo Daily Shine 180ml,PCS,16,7,17,19,11,0,0,0,0,0,0,0,70
PA Beer Shampoo Daily Shine 350ml,PCS,4,4,0,0,0,0,0,0,0,0,0,0,8
PA Beer Shampoo Damage Free Hair 180ml,PCS,12,8,0,12,0,0,0,0,0,0,0,0,32
PA Beer Shampoo Damage Free Hair 350ml,PCS,18,48,0,52,34,0,0,0,0,0,0,0,152
PA Body Deo Alter Ego 100gm (Mrp 240/-),PCS,0,0,0,-1,0,0,0,0,0,0,0,0,-1
PA Body Deo Cool Blue 100gm (Mrp 225/-),PCS,0,4,6,8,4,0,0,0,0,0,0,0,22
PA Body Deo Good Morning 100gm 225/-,PCS,21,53,12,9,28,0,0,0,0,0,0,0,123
PA Body Deo Good Morning 220ml 319/-,PCS,11,2,9,29,25,0,0,0,0,0,0,0,76
PA Body Deo Storm 100gm 225/-,PCS,18,23,16,10,18,0,0,0,0,0,0,0,85
PA Body Deo Voyage 100gm 240/-,PCS,21,73,62,30,28,0,0,0,0,0,0,0,214
PA Body Frag Mystique 120ml 225/-,PCS,912,0,0,708,12,0,0,0,0,0,0,0,1632
PA Body Frag Zest 120ml 225/-,PCS,912,0,0,708,12,0,0,0,0,0,0,0,1632
PA Body Fragrance Alexander 120 ml 225,PCS,0,0,3,-1,0,0,0,0,0,0,0,0,2
PA Body Fragrance Marcus 150 ml  199/-,PCS,0,0,0,-1,0,0,0,0,0,0,0,0,-1
PA COOL BLUE Shaving Foam  200gm 185/-,PCS,0,0,0,0,0,1,0,0,0,0,0,0,1
PA Deo  Assorted (2+1) 150ml MRP450,PCS,46,176,127,55,198,-9,0,0,0,0,0,0,593
PA Deo Voyage Signature B2G1 500/-,PCS,77,188,89,107,211,0,0,0,0,0,0,0,672
PA EAUDE COLONGE 100ml 135/-,PCS,12,-1,6,0,0,0,0,0,0,0,0,0,17
PA GM Shaving Foam  200gm 185/-,PCS,2,0,2,2,9,0,0,0,0,0,0,0,15
PA Good Morning Ultimate 150ml 250/-,PCS,6,6,2,0,0,0,0,0,0,0,0,0,14
PA Grooming Kit GM Regular 599/-,PCS,6,3,18,0,32,0,0,0,0,0,0,0,59
PA Neo Per Deo Mega Pack 220ml 329/-,PCS,24,12,8,9,12,0,0,0,0,0,0,0,65
PA NEO PERFUME DEO 150Ml 250/-,PCS,12,24,18,0,6,0,0,0,0,0,0,0,60
PA Perfume Deo Impact Icon Mrp- 250,PCS,0,6,0,6,6,0,0,0,0,0,0,0,18
PA Perfume Deo Impact Magnifico  280/-,PCS,0,4,4,8,0,0,0,0,0,0,0,0,16
PA Perfume Deo Impact Regal 280/-,PCS,8,4,8,0,8,0,0,0,0,0,0,0,28
PA Perfumned Deo Trance 135ml 210/-,PCS,4,8,0,8,4,0,0,0,0,0,0,0,24
PA Prm. Talc Beauty (Twin Pack) 185/-,PCS,0,24,16,0,0,0,0,0,0,0,0,0,40
PA Prm. Talc Lavender (Twin Pack) 185/-,PCS,12,0,0,0,0,0,0,0,0,0,0,0,12
PA Prm. Talc SANDAL (Twin Pack) 185/-,PCS,12,0,0,0,0,0,0,0,0,0,0,0,12
PA SC Classic 80g+Brush  100/,PCS,1152,0,0,0,0,0,0,0,0,0,0,0,1152
PA SC Good Morning 80g+Brush  100/,PCS,1008,0,0,0,0,0,0,0,0,0,0,0,1008
PA Shaving Brush Silver 90/-,PCS,12,10,0,-1,0,0,0,0,0,0,0,0,21
PA Shaving Cream  Classic  75/-,PCS,15,121,48,35,54,0,0,0,0,0,0,0,273
PA Shaving Cream Cool Blue70gm 75/-,PCS,26,144,72,83,39,0,0,0,0,0,0,0,364
PA Shaving Cream Good Morning 70gm 75/-,PCS,56,52,80,78,80,0,0,0,0,0,0,0,346
PA Shaving Foam Good Morning 420gm 230/-,PCS,0,0,-1,-1,0,0,0,0,0,0,0,0,-2
PA Sig Coll Discover 150ml 250/-,PCS,30,1046,251,378,164,0,0,0,0,0,0,0,1869
PA Soap Cool Blue (3+1)125 gm 210/-,PCS,12,123,18,3,30,0,0,0,0,0,0,0,186
PA Soap Cool Blue 125 gm 50/-,PCS,48,42,55,96,37,0,0,0,0,0,0,0,278
PA Soap Good Morning (3+1)125 gm 210/-,PCS,6,0,0,0,0,0,0,0,0,0,0,0,6
PA Soap Good Morning 125gm 53/-,PCS,10,20,19,40,13,0,0,0,0,0,0,0,102
PA Soap Luxury (3+1)125 gm 210/-,PCS,37,153,11,22,38,0,0,0,0,0,0,0,261
PA Soap Luxury 125 gm 70/-,PCS,0,24,48,0,48,0,0,0,0,0,0,0,120
PA Soap Storm 125gm 50/-,PCS,0,6,4,6,6,0,0,0,0,0,0,0,22
PA Sportz Force 150ml 250/-,PCS,0,936,0,576,0,0,0,0,0,0,0,0,1512
PA Sportz Power 150ml 250/-,PCS,0,0,0,-2,0,0,0,0,0,0,0,0,-2
PA Sportz Style 150ml 250/-,PCS,936,0,0,429,0,0,0,0,0,0,0,0,1365
PA Sportz Style+Force 150ml*2  250/-,PCS,0,-1,186,65,140,0,0,0,0,0,0,0,390
PA Voyage Perfume  Amazon Woods120ml,PCS,0,0,0,24,17,0,0,0,0,0,0,0,41
PA Voyage Perfume Spray 220ml 329/-,PCS,106,36,43,51,31,0,0,0,0,0,0,0,267
POPCORN-BUTTER LOVERS 40GM 10/-,PCS,0,0,0,0,0,0,0,0,120,0,0,0,120
POPCORN-CLASSIC SALTED 40 GM 10/-,PCS,0,0,0,0,0,0,0,0,120,0,0,0,120
POPCORN-GOLDEN CRUNCH 40GM 10/-,PCS,0,0,0,0,0,0,0,0,120,0,0,0,120
POPCORN-MIXIN  PERI PERI-60GM 30/-,PCS,0,0,0,0,0,0,0,0,126,0,0,0,126
POPCORN-MIXIN CHEESE BURST-60GM 30/-,PCS,0,0,0,0,0,0,0,0,41,0,0,0,41
POPCORN-MIXIN DESI COCKTAIL-60GM 30/-,PCS,0,0,0,0,0,0,0,0,-27,0,0,0,-27
POPCORN-MIXIN TOMATO SALSA-60GM 30/-,PCS,0,0,0,0,0,0,0,0,43,0,0,0,43
RIO REGULAR SANI COMFY W NAPKIN 7's*72,PCS,0,72,0,144,144,144,0,0,0,0,0,0,504
RIO REGULAR SANI COMFY W NAPKIN 8's*72,PCS,0,0,0,72,0,0,0,0,0,0,0,0,72
RIO REGULAR SANI COTTONY NAPKIN 7's*72,PCS,0,0,0,72,0,0,0,0,0,0,0,0,72
RIO SANI NAPKIN COTTONY XL 6's*72,PCS,0,72,0,72,0,0,0,0,0,0,0,0,144
RUCHIS NUTRELA SOYA CHUNK (200G),PCS,60,120,0,236,300,180,240,60,240,120,300,0,1856
RUCHIS NUTRELA SOYA CHUNK 1KG,PCS,0,-1,0,44,0,0,12,0,0,25,44,0,124
RUCHIS NUTRELA SOYA CHUNK MINI (200G),PCS,0,300,0,420,300,237,240,120,300,180,300,0,2397
RUCHIS NUTRELA SOYAGRANULES-200G,PCS,0,120,0,179,180,120,180,60,270,120,240,0,1469
S Nacho Classic Salted 150G (1*15) 90/-,PCS,0,0,48,24,24,70,73,36,0,66,12,0,353
S NACHO COMBI 55G*3+1 DIP 215G 120/-,PCS,0,0,0,0,276,228,25,156,210,-36,72,0,931
S Nacho Creamy Cheese 150G (1*15) 90/-,PCS,0,85,23,18,140,478,71,72,213,192,120,0,1412
S Nacho Creamy Cheese 40G+DIP35 60/-,PCS,0,0,0,0,0,0,0,0,56,0,0,0,56
S Nacho Creamy Cheese 40G+DIP35 90/-,PCS,0,0,0,56,0,0,1,0,0,0,28,0,85
S Nacho Creamy Cheese 60G (1*40) 35/-,PCS,-4,80,40,36,80,18,65,77,12,12,23,0,439
S Nacho Crunchy Pizza 150G (1*15) 90/-,PCS,0,0,0,-56,0,0,49,24,0,0,0,0,17
S Nacho Crunchy Pizza 60G (1*48) 35/-,PCS,0,40,0,-23,-32,0,12,80,0,0,0,0,77
S Nacho Jalpino 40G+DIP35 (1*56) 70/-,PCS,0,0,0,0,0,368,0,112,168,56,224,0,928
S Nacho Jalpino 40G+DIP35 (1*56) 90/-,PCS,0,0,0,112,0,48,-1,-2,112,1,28,0,298
S Nacho Mexican Chilli 150G (1*15) 90/-,PCS,0,71,-24,96,24,22,53,45,14,33,0,0,334
S Nacho Mexican Chilli 60G (1*40) 35/-,PCS,23,88,-36,96,64,18,-22,0,-29,-15,40,0,227
S Nacho Peri Peri 150G (1*15) 90/-,PCS,-4,24,0,0,0,0,27,0,0,24,12,0,83
S Nacho Peri Peri 40G+DIP35 90/-,PCS,0,0,0,0,0,0,1,0,0,0,0,0,1
S Nacho Peri Peri 60G (1*48) 35/-,PCS,-16,0,0,0,0,0,40,0,0,0,0,0,24
S Nacho Peri Peri With Dip 65G 70/-,PCS,534,56,672,436,224,508,7,336,224,156,112,0,3265
S Nacho Tangy Tomato 150G(1*24) 90/-,PCS,0,-15,0,0,0,0,0,0,0,0,0,0,-15
