Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
Additional Trade Margin,N.A.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30362.00,0.00,0.00,0.00,30362.00
BAMBINO GULAB JAMUN MIX 180GM 1+1,PCS,273.00,8257.90,1422.00,40687.60,348.00,11074.56,936.00,26562.96,990.00,28089.16,87.00,2543.27,1402.00,39884.50,872.00,31366.54,818.00,23544.90,468.00,26701.02,117.00,6603.56,3698.00,113722.56,11431.00,359038.53
BAMBINO INS. PASTA CHEESE 65GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,663.00,11142.82,507.00,8487.73,78.00,1305.80,468.00,7834.80,0.00,0.00,598.00,10084.26,2314.00,38855.41
BAMBINO INS. PASTA MASALA 65GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,741.00,12448.62,429.00,7181.93,156.00,2611.60,390.00,6529.00,78.00,1305.80,156.00,2611.60,1950.00,32688.55
BAMBINO INS. PASTA TOMATO 65GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,780.00,13101.53,390.00,6529.02,78.00,1305.80,468.00,7834.80,78.00,1305.80,429.00,7181.91,2223.00,37258.86
BAMBINO KHEER MIX 180GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.00,5796.60,168.00,6605.06,141.00,5377.08,76.00,2898.30,390.00,14872.80,927.00,35549.84
BAMBINO MACARONI 200 GM,PCS,2391.00,31132.01,2884.00,36490.22,4802.00,61394.82,2832.00,35917.14,719.00,9023.94,-2.00,-29.28,0.00,0.00,80.00,1057.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13706.00,174985.99
BAMBINO MACARONI 200 GM 20/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3491.00,47325.86,3610.00,48478.16,2915.00,40030.46,1980.00,26903.50,2138.00,28664.47,4417.00,58740.75,4494.00,59591.82,4078.00,54016.44,27123.00,363751.46
BAMBINO MACARONI 450 GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6435.00,200390.58,7133.00,220189.44,9299.00,288265.57,8632.00,263600.75,7602.00,233352.02,7493.00,229775.23,8446.00,259426.60,10247.00,319574.49,65287.00,2014574.68
BAMBINO MACARONI 450 GM 43/-,PCS,6432.00,186636.63,5892.00,173013.82,11353.00,335995.59,9318.00,274714.33,7283.00,214384.08,-4.00,-131.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40274.00,1184612.67
BAMBINO MACARONI 900 GM,PCS,0.00,0.00,0.00,0.00,20.00,999.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,3964.28,0.00,0.00,0.00,0.00,95.00,4964.10
BAMBINO MACARONI 900 GM 80/,PCS,4713.00,234789.54,4347.00,218751.51,5808.00,296292.36,5259.00,265496.50,9417.00,508719.69,6028.00,326787.90,5782.00,318101.45,5621.00,302445.72,3365.00,183488.76,4960.00,269383.14,5436.00,298077.11,6294.00,347454.58,67030.00,3569788.26
BAMBINO PASTA PENNE 250GM,PCS,335.00,11645.08,802.00,28331.24,1815.00,63223.22,446.00,15732.16,1646.00,57440.16,779.00,26382.58,1633.00,56443.78,890.00,30420.52,1393.00,47584.12,324.00,10872.14,159.00,5323.48,369.00,12354.92,10591.00,365753.40
BAMBINO PASTA SPIRALLI 250GM,PCS,96.00,3233.48,0.00,0.00,240.00,7992.84,206.00,6854.46,226.00,7566.96,192.00,6342.86,691.00,23077.28,275.00,9132.60,245.00,8278.14,5.00,167.40,147.00,4921.76,384.00,12857.12,2707.00,90424.90
BAMBINO PASTA SPIRALLI 500GM,PCS,66.00,3491.52,90.00,4951.60,306.00,17224.82,108.00,6094.28,482.00,27156.26,192.00,10763.74,480.00,26979.96,305.00,17083.70,457.00,25544.19,184.00,10227.66,240.00,13204.30,629.00,35471.80,3539.00,198193.83
BAMBINO PENNE PASTA 500GM,PCS,450.00,23767.70,359.00,19369.08,1418.00,79033.80,1529.00,84381.30,1605.00,89330.88,1116.00,61920.50,1953.00,108501.93,766.00,41366.38,1404.00,78065.52,1242.00,69851.40,1292.00,71921.48,1474.00,82984.69,14608.00,810494.66
BAMBINO ROASTED JAR650GM,PCS,143.00,8174.18,32.00,1828.58,96.00,5668.56,32.00,1828.56,0.00,0.00,48.00,2742.84,48.00,2571.42,32.00,1714.28,32.00,1771.42,192.00,10285.68,223.00,12052.29,64.00,3428.56,942.00,52066.37
BAMBINO ROASTED VERMICELLI 900 G,PCS,2749.00,176984.03,4259.00,276600.02,7312.00,479293.44,5117.00,336668.54,6792.00,445170.00,3717.00,245076.04,7700.00,506875.72,5246.00,340471.68,6922.00,452690.05,4780.00,312275.63,4025.00,266065.01,5338.00,358124.78,63957.00,4196294.94
BAMBINO ROASTED VERMICELLI-200 GM,PCS,2243.00,39172.36,1274.00,22348.80,1449.00,25912.26,2416.00,41814.40,2346.00,41928.30,1471.00,26297.83,1880.00,35255.68,1285.00,23015.01,986.00,17606.04,2811.00,50194.05,2789.00,49802.21,2496.00,44571.42,23446.00,417918.36
BAMBINO ROASTED VERMICELLI-450 GM,PCS,4131.00,148001.75,6167.00,223218.68,8414.00,308327.74,7371.00,270479.83,10288.00,374433.46,6277.00,232374.40,10174.00,372972.48,6765.00,245042.50,5754.00,211745.69,5912.00,218579.03,6385.00,235850.78,10175.00,375783.38,87813.00,3216809.72
BAMBINO SOUP HOT N SOUR 50G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,3425.84,698.00,12200.21,104.00,1817.80,184.00,3691.54,-28.00,-279.66,0.00,0.00,0.00,0.00,1154.00,20855.73
BAMBINO SOUP MIX VEG 60G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4832.00,83838.46,5184.00,124779.14,4008.00,136318.78,912.00,31456.28,48.00,1677.96,156.00,3635.60,15140.00,381706.22
BAMBINO SOUP SWEET CORN 50G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,-279.66,208.00,7271.18,0.00,0.00,4158.00,71837.85,4884.00,114635.88,2804.00,95651.46,864.00,29916.28,0.00,0.00,0.00,0.00,12902.00,319032.99
BAMBINO SOUP TOMATO 60G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176.00,3076.28,8912.00,154214.22,4248.00,118034.66,4380.00,148017.96,1340.00,46377.12,0.00,0.00,0.00,0.00,19056.00,469720.24
BAMBINO UPMA MIX 180GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.00,3025.42,585.00,11154.60,741.00,14180.02
BAMBINO VERMICELLI  875 G,PCS,3027.00,151161.34,2471.00,125807.34,3466.00,177807.66,1834.00,93042.00,4170.00,213414.64,3610.00,185082.02,4750.00,243806.18,3253.00,165726.00,3435.00,176397.98,3211.00,165706.68,3186.00,164066.15,4212.00,217983.00,40625.00,2080000.99
BAMBINO VERMICELLI 250 GM,PCS,277.00,3975.47,583.00,8361.90,1373.00,19700.18,599.00,8563.98,972.00,13950.10,735.00,10564.76,929.00,13299.62,687.00,9863.44,406.00,5810.81,455.00,6516.03,234.00,3343.08,364.00,5200.00,7614.00,109149.37
BAMBINO VERMICELLI 450GM,PCS,3284.00,84650.32,3317.00,87197.14,3842.00,101510.90,3366.00,88719.60,4622.00,127617.28,2692.00,72768.24,4097.00,113240.04,2871.00,78592.68,1537.00,42604.60,2296.00,62979.42,2105.00,57473.62,3047.00,83859.77,37076.00,1001213.61
Boroplus Antiseptic Cream 120 ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,4600.00,189.00,18900.00,224.00,22700.00,376.00,38015.00,91.00,9105.00,0.00,0.00,0.00,0.00,926.00,93320.00
