Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
Boroplus Antiseptic Cream 19 ml,PCS,183.00,4560.09,108.00,2559.88,60.00,1414.30,108.00,2653.40,44.00,1125.00,204.00,5160.00,324.00,8163.76,470.00,11927.52,750.00,19022.50,454.00,11630.02,239.00,6022.50,189.00,4725.00,3133.00,78963.97
Boroplus Antiseptic Cream 40 ml,PCS,246.00,10754.98,290.00,12428.58,275.00,12598.40,438.00,19144.24,484.00,21791.64,355.00,16795.56,812.00,38034.48,1063.00,50098.97,903.00,42454.55,1254.00,59041.48,395.00,18406.78,1.00,46.42,6516.00,301596.08
Boroplus Antiseptic Cream 80 ml,PCS,272.00,20529.83,130.00,9567.70,144.00,10756.11,443.00,36597.16,2868.00,228094.08,864.00,68109.62,1059.00,83937.72,1309.00,104263.98,1257.00,99911.15,1517.00,121812.89,98.00,7853.19,0.00,0.00,9961.00,791433.43
Boroplus Cocoa Soft Moist.Lot. 100 ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,214.28,60.00,4285.72,84.00,7199.72,17.00,1214.28,48.00,4114.08,0.00,0.00,0.00,0.00,212.00,17028.08
Boroplus Grp & Olv Moist.Lot. 100 ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,6856.52,59.00,3160.72,42.00,2549.40,20.00,1071.42,0.00,0.00,241.00,13638.06
Boroplus Prickly Heat Powder IC 150,PCS,188.00,12172.82,217.00,14775.88,203.00,13774.90,167.00,11332.10,109.00,7396.40,102.00,6921.42,42.00,2866.96,0.00,0.00,0.00,0.00,36.00,2524.28,0.00,0.00,0.00,0.00,1064.00,71764.76
BP Adv Winter Moist Lot. 300 ml 230/-,PCS,66.00,8957.14,29.00,3956.06,0.00,0.00,22.00,2985.72,0.00,0.00,54.00,8871.42,854.00,140300.23,1306.00,215083.24,896.00,147635.78,414.00,69304.15,14.00,2316.42,0.00,0.00,3655.00,599410.16
BP Adv.Winter Moist.Lot. 100 ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,4928.58,201.00,12117.40,159.00,9653.54,135.00,8414.73,24.00,1457.14,70.00,4250.00,673.00,40821.39
BP Adv.Winter Moist.Lotion 500 ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,4400.00,69.00,11335.72,101.00,16593.56,85.00,13964.28,0.00,0.00,26.00,4271.42,0.00,0.00,309.00,50564.98
BP Alovera & Coco Face Wash 50 ml,PCS,38.00,1529.36,18.00,707.15,17.00,667.89,110.00,4321.44,9.00,353.58,6.00,235.72,21.00,825.00,4.00,157.16,1.00,39.28,0.00,0.00,0.00,0.00,0.00,0.00,224.00,8836.58
BP H White Cream 25gm,PCS,18.00,642.86,18.00,653.58,32.00,1167.86,112.00,3810.72,23.00,851.78,36.00,1328.56,43.00,1508.34,66.00,2389.30,10.00,364.28,45.00,1623.22,8.00,289.28,0.00,0.00,411.00,14629.78
BP Perfect Touch A Cream 20 ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.00,2925.00,207.00,5175.00,216.00,5400.00,0.00,0.00,0.00,0.00,0.00,0.00,540.00,13500.00
BP Zero Oil Zero Pimple Face Wash 50 ml,PCS,12.00,471.44,7.00,276.96,21.00,836.78,96.00,3771.42,6.00,235.72,24.00,942.86,15.00,589.30,5.00,196.42,5.00,196.44,0.00,0.00,0.00,0.00,0.00,0.00,191.00,7517.34
BP Zero Oil Zero Pimple Face Wash 80 ml,PCS,18.00,1092.84,24.00,1457.14,23.00,1414.62,299.00,18153.58,82.00,4978.58,26.00,1578.56,6.00,364.28,2.00,121.42,0.00,0.00,2.00,121.42,18.00,1101.93,33.00,2003.58,533.00,32387.95
Denver Deo Blackcode 100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,135.00,15934.62,30.00,3541.54,27.00,3187.38,38.00,4485.96,21.00,2479.08,36.00,4249.82,0.00,0.00,30.00,3541.52,612.00,71598.66,929.00,109018.58
Denver Deo BlueSport 100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,150.00,17544.09,33.00,3895.66,18.00,2124.92,12.00,1416.62,18.00,2124.92,36.00,4249.84,0.00,0.00,27.00,3187.38,633.00,74005.66,927.00,108549.09
Denver Deo Caliber 105gm 210/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,138.00,17191.54,27.00,3363.56,42.00,5232.22,42.00,5232.22,9.00,1122.37,36.00,4256.66,0.00,0.00,24.00,2989.84,66.00,8222.26,384.00,47610.67
Denver Deo Caliber 127gm 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,481.00,67535.87,481.00,67535.87
Denver Deo Hamilton 105gm 210/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,309.00,38494.06,39.00,4858.48,81.00,10090.46,38.00,4733.84,28.00,3488.14,36.00,4256.66,24.00,2533.84,50.00,6228.80,130.00,16195.36,735.00,90879.64
Denver Deo Hamilton 127gm 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,504.00,70922.72,504.00,70922.72
Denver Deo Honour 105gm 210/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,855.00,106509.04,48.00,5979.56,854.00,106388.06,465.00,57927.90,435.00,54133.65,419.00,52197.46,468.00,58073.62,234.00,29150.84,404.00,50329.04,4182.00,520689.17
Denver Deo Honour 127gm 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,67377.60,480.00,67377.60
Denver Deo Imperial 105gm 210/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,756.00,94176.12,42.00,5232.18,843.00,105017.82,180.00,22423.74,381.00,47463.56,399.00,49705.90,777.00,96842.00,594.00,73998.28,549.00,68392.34,4521.00,563251.94
Denver Deo Imperial 127gm 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,67377.60,480.00,67377.60
Denver Deo Original 150ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,21.00,2304.66,45.00,5116.50,33.00,3920.80,39.00,4801.29,27.00,3323.97,33.00,4032.27,3.00,369.33,21.00,2585.31,570.00,66792.30,792.00,93246.43
Denver Deo Pride 105gm 210/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,888.00,110620.12,90.00,11133.46,771.00,96048.30,455.00,56682.24,297.00,36999.12,429.00,53443.18,780.00,97192.55,345.00,42978.80,446.00,55560.98,4501.00,560658.75
Denver Deo Pride 127gm 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,67377.60,480.00,67377.60
Denver Deo Royal Oud 150ml 210/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,540.00,65561.40,540.00,65561.40
Denver Deo Xtreme 2+1,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,8072.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,8072.54
Denver Deo Xtreme Endurance 100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,3.00,336.36,36.00,4143.06,33.00,3895.68,30.00,3541.52,3.00,354.16,0.00,0.00,30.00,3563.50,12.00,1416.62,0.00,0.00,147.00,17250.90
Denver Deo Xtreme Performance100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1345.44,12.00,1345.42,6.00,672.72,9.00,1009.06,0.00,0.00,12.00,1345.42,0.00,0.00,51.00,5718.06
Denver Deo Xtreme Reverence 100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1345.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1416.62,0.00,0.00,24.00,2762.06
Denver Perfume Blackcode 60ml 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,67377.60,480.00,67377.60
Denver Perfume Original 60ml 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,67377.60,480.00,67377.60
DR B  DANDRUFF CLEANSING SHAMPOO 200ML,PCS,7.00,850.50,16.00,1944.00,8.00,972.00,17.00,2065.50,18.00,2187.00,20.00,2591.00,7.00,850.50,17.00,1750.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,13210.92
DR B ACNE FACE WASH 100 GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1619.00,6.00,809.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,2428.50
DR B ACNE FACE WASH50 GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,935.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,935.60
DR B ANTI DUNDRUFF SHAMPOO 500ML,PCS,1.00,259.50,6.00,1557.00,0.00,0.00,2.00,519.00,1.00,259.50,8.00,2359.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,4954.32
DR B BATHING BAR 125G,PCS,0.00,0.00,12.00,724.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,724.56
DR B BATHING BAR 75G,PCS,12.00,419.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,419.50
DR B CONDITIONER 200ML,PCS,0.00,0.00,3.00,364.50,0.00,0.00,5.00,607.50,3.00,364.50,9.00,1093.50,4.00,486.00,2.00,205.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,3121.94
DR B DEO FOR MEN 150ML,PCS,0.00,0.00,0.00,0.00,0.00,0.00,13.00,1865.50,1.00,143.50,1.00,143.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,2152.50
DR B FACE WASH 100 GM,PCS,12.00,1517.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1517.80
DR B FACE WASH 50GM,PCS,0.00,0.00,10.00,702.30,1.00,70.23,2.00,140.46,4.00,280.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,1193.91
DR B FACE WASH INSTANT GLOW 100GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1079.32,6.00,809.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,1888.82
DR B FACE WASH INSTANT GLOW 50GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,623.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,623.72
DR B FOOT CARE CREAM 100G,PCS,1.00,174.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,174.04
DR B HAIR CARE KIT,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,667.38,1.00,686.44,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1353.82
DR B HAIR OIL 100ML,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,976.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,976.28
DR B HAIR OIL 200ML,PCS,0.00,0.00,5.00,549.60,0.00,0.00,2.00,219.84,2.00,219.84,15.00,1794.16,6.00,659.52,2.00,186.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,3629.26
Dr B Hair Vitalizing Serum 125ml,Pcs.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1144.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1144.86
DR B HAIRFALL CONTROL SERUM 125ML,PCS,0.00,0.00,0.00,0.00,1.00,324.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,324.09
DR B HAIRFALL CONTROL SHAMPOO 200ML,PCS,12.00,1825.20,12.00,1825.22,8.00,1216.80,2.00,304.20,21.00,3194.10,21.00,3394.66,5.00,760.50,12.00,1546.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,14067.46
DR B HAIRFALL CONTROL SHAMPOO 500ML,PCS,0.00,0.00,3.00,1005.60,0.00,0.00,1.00,335.30,4.00,1341.40,0.00,0.00,0.00,0.00,1.00,284.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2966.46
DR B Hairfall Controll OIL 200ML,PCS,1.00,177.10,4.00,708.40,1.00,177.10,10.00,1771.00,7.00,1239.70,20.00,3849.36,7.00,1239.70,7.00,1050.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,10212.96
DR B HAND WASH 300 ML,PCS,0.00,0.00,0.00,0.00,6.00,476.40,0.00,0.00,0.00,0.00,11.00,906.84,8.00,659.52,4.00,279.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,2322.22
DR B HERBAL COLOR CREAM 130G,PCS,0.00,0.00,3.00,1318.35,0.00,0.00,0.00,0.00,2.00,879.90,0.00,0.00,1.00,439.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2637.70
DR B NON ALCOHOLIC SANITIZER 100ML,PCS,2.00,134.40,7.00,470.40,7.00,470.40,1.00,67.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,1142.40
DR B NORMAL SHAMPOO 200ML,PCS,1.00,121.50,4.00,486.00,10.00,1215.00,10.00,1215.00,4.00,486.00,21.00,2658.82,5.00,607.50,10.00,1029.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,7819.48
DR B NORMAL SHAMPOO 500ML,PCS,0.00,0.00,14.00,3633.00,2.00,519.00,0.00,0.00,3.00,778.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,4930.50
DR B OIL CONTROL FACE WASH 100G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1079.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1079.32
Emami 7 Oils in One 100ml,PCS,200.00,8544.54,160.00,6607.66,88.00,3671.16,195.00,7972.88,157.00,6416.98,123.00,5035.96,176.00,7177.66,225.00,9164.82,191.00,7779.84,228.00,9299.16,12.00,488.14,15.00,610.16,1770.00,72768.96
Emami 7 Oils in One 200ml,PCS,246.00,18504.78,177.00,13870.28,114.00,9118.19,248.00,19499.37,158.00,12587.65,170.00,13293.28,122.00,9644.45,195.00,15460.74,277.00,21783.84,286.00,22700.07,71.00,5644.81,0.00,0.00,2064.00,162107.46
Emami Hair Color Burgundy 30/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,162.72,0.00,0.00,12.00,244.06,0.00,0.00,0.00,0.00,0.00,0.00,20.00,406.78
Emami Hair Color Cherry Red 30/-,PCS,0.00,0.00,4.00,85.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,162.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,248.14
Emami Hair Color D Brown,PCS,21.00,398.62,37.00,702.34,1.00,18.98,30.00,610.20,3.00,61.02,18.00,366.12,16.00,325.44,5.00,101.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.00,2584.42
Emami Hair Color N Black,PCS,18.00,344.52,59.00,1144.38,13.00,258.98,15.00,305.10,12.00,244.08,49.00,996.62,23.00,467.82,36.00,732.22,43.00,874.60,15.00,305.10,0.00,0.00,0.00,0.00,283.00,5673.42
Emami Hair Color N Brown,PCS,0.00,0.00,27.00,549.18,6.00,122.04,21.00,427.14,6.00,122.04,27.00,549.14,20.00,406.80,96.00,1952.56,12.00,244.08,11.00,223.74,11.00,223.74,0.00,0.00,237.00,4820.46
Envy 1000 Deo Crystal Texas Heat 135ml,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.00,9916.28,0.00,0.00,96.00,11636.44,288.00,16999.36,552.00,38552.08
Envy 1000 Deo Dark 100G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,18.00,2018.14,16.00,1811.70,30.00,3541.52,24.00,2833.24,3.00,354.16,17.00,1790.76,21.00,2479.10,0.00,0.00,612.00,71526.60,741.00,86355.22
Envy 1000 Deo Fiery 100G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,6.00,672.72,18.00,2018.14,18.00,2107.12,24.00,2833.22,9.00,1062.46,6.00,708.32,3.00,354.16,24.00,2833.22,0.00,0.00,108.00,12589.36
Envy 1000 Deo Force 97G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1345.44,12.00,1345.44,3.00,354.16,18.00,2124.90,6.00,600.26,6.00,708.32,27.00,3209.34,12.00,1416.62,0.00,0.00,96.00,11104.48
