Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
BAMBINO SOUP HOT N SOUR 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP HOT N SOUR 50G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,9.00,146.97,96.00,3355.92,231.00,5402.54,0.00,0.00,52.00,1983.06,96.00,3661.02,0.00,0.00,0.00,0.00,0.00,0.00,484.00,14549.51
BAMBINO SOUP MIX VEG 60G,PCS,0.00,0.00,0.00,0.00,-37.00,-1293.43,240.00,5800.68,230.00,8057.69,181.00,6327.33,60.00,2097.46,47.00,1770.34,44.00,1633.48,55.00,1925.09,0.00,0.00,0.00,0.00,820.00,26318.64
BAMBINO SOUP MIXED VEG 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP SWEET CORN 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP SWEET CORN 50G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,1668.00,29027.48,173.00,6047.61,180.00,6292.38,8.00,629.16,88.00,3200.21,49.00,1827.33,-2.00,-69.92,-1.00,-34.96,0.00,0.00,2163.00,46919.29
BAMBINO SOUP TOMATO 15G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,1425.76
BAMBINO SOUP TOMATO 60G,PCS,0.00,0.00,0.00,0.00,0.00,0.00,174.00,4629.70,236.00,8249.98,180.00,6292.38,37.00,1293.43,72.00,2660.22,48.00,1830.52,0.00,0.00,0.00,0.00,0.00,0.00,747.00,24956.23
BAMBINO UPMA MIX 180GM,PCS,78.00,1487.28,117.00,2230.92,0.00,0.00,156.00,3718.20,39.00,991.52,0.00,0.00,30.00,572.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,-228.82,408.00,8771.14
BAMBINO VERMICELLI  875 G,PCS,2188.00,114269.98,3067.00,157270.00,3729.00,192903.48,2167.00,109190.80,3033.00,154256.91,1799.00,93818.60,1456.00,75922.15,381.00,20245.30,351.00,18721.42,359.00,18875.00,36.00,1877.04,0.00,0.00,18566.00,957350.68
BAMBINO VERMICELLI 250 GM,PCS,910.00,12937.33,1472.00,21028.91,659.00,9414.28,609.00,8674.62,1970.00,28142.83,546.00,7800.02,223.00,3185.72,177.00,2528.58,259.00,3786.66,90.00,1286.04,105.00,1512.52,0.00,0.00,7020.00,100297.51
BAMBINO VERMICELLI 450GM,PCS,1909.00,52028.70,2845.00,77672.26,2342.00,65830.36,3039.00,85525.98,3790.00,111058.96,2155.00,64392.74,1635.00,49064.30,583.00,18022.00,252.00,7716.00,565.00,17422.29,134.00,4098.00,156.00,4992.00,19405.00,557823.59
Boroplus Antiseptic Cream 19 ml,PCS,0.00,0.00,8.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,200.00
Boroplus Antiseptic Cream 40 ml,PCS,0.00,0.00,1.00,46.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,46.42
Boroplus Antiseptic Cream 80 ml,PCS,0.00,0.00,2.00,157.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,157.14
Boroplus Cocoa Soft Moist.Lot. 100 ml,PCS,0.00,0.00,40.00,2857.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,2857.14
Boroplus Grp & Olv Moist.Lot. 100 ml,PCS,33.00,1767.86,57.00,3460.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,5228.58
Boroplus Prickly Heat Powder IC 150,PCS,0.00,0.00,1.00,67.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,67.86
BP Adv Winter Moist Lot. 300 ml 230/-,PCS,0.00,0.00,10.00,1642.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,-164.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,1478.57
BP Adv.Winter Moist.Lot. 100 ml,PCS,8.00,485.72,4.00,242.86,0.00,0.00,-8.00,-485.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,242.86
BP Adv.Winter Moist.Lotion 500 ml,PCS,0.00,0.00,8.00,1314.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1314.28
BP H White Cream 25gm,PCS,6.00,214.28,1.00,35.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,250.00
BP Zero Oil Zero Pimple Face Wash 80 ml,PCS,3.00,182.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,182.14
CREMICA `SAND SPR MINT 275g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,1278.82,0.00,0.00,30.00,1747.80,24.00,1398.24,36.00,2097.36,112.00,6522.22
CREMICA CCEASER SALAD DRESSING ,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1044.64,24.00,2386.80,0.00,0.00,12.00,1193.40,48.00,4624.84
